SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI
2023-2024,NJ,Long Beach Island Consolidated School District,NJ-292760,3408910,201 20TH STREET,NA,NA,SHIP BOTTOM,08008,http://www.lbischools.org,Yes,PK,06
2023-2024,NJ,Lopatcong Township School District,NJ-412790,3409000,321 Stonehenge Drive,NA,NA,Phillipsburg,08865,http://www.lopatsd.org,Yes,PK,08
2023-2024,NJ,The Lower Alloways Creek School District,NJ-332800,3409030,967 Main Street - Canton,NA,NA,Salem,08079,http://www.lacschool.org,Yes,PK,08
2023-2024,NJ,Lower Township Elementary School District,NJ-092840,3409150,905 Seashore Road,Administration,NA,Cape May,08204,http://www.lowertwpschools.com,Yes,PK,06
2023-2024,NJ,Lumberton Township Board of Education,NJ-052850,3409180,33 Municipal Drive,NA,NA,Lumberton,08048,http://www.lumberton.k12.nj.us,Yes,PK,08
2023-2024,NJ,Magnolia School District,NJ-072890,3409300,420 N. Warwick Rd,NA,NA,Magnolia,08049,http://www.magnoliaschools.org,Yes,PK,08
2023-2024,NJ,Manalapan-Englishtown Regional School District,NJ-252920,3409390,54 Main Street,NA,NA,Englishtown,07726,http://www.mersnj.us/,Yes,PK,08
2023-2024,NJ,Mannington Township School District,NJ-332950,3409480,495 Route 45,NA,NA,Salem,08079,http://manningtonschool.org,Yes,PK,08
2023-2024,NJ,Mansfield Township School District,NJ-052960,3409510,200 Mansfied Road East,NA,NA,Columbus,08022,http://www.mansfieldschool.com,Yes,PK,06
2023-2024,NJ,Mansfield Township Elementary School District,NJ-412970,3409540,50 Port Murray Road,NA,NA,Port Murray,07865,http://www.mansfieldtsd.org,Yes,PK,06
2023-2024,NJ,Mantua Township School District,NJ-152990,3409600,684 Main Street,NA,NA,Sewell,08080,http://www.mantuaschools.com,Yes,PK,06
2023-2024,NJ,Margate City School District,NJ-013020,3409690,8103 Winchester Avenue,NA,NA,Margate,08402,http://www.margateschools.org,Yes,PK,08
2023-2024,NJ,Marlboro Township School District,NJ-253030,3409720,1980 Township Drive,NA,NA,Marlboro,07746,http://www.mtps.org,Yes,PK,08
2023-2024,NJ,Maurice River Township School District,NJ-113050,3409780,3593 RT 47,NA,NA,PORT ELIZABETH,08348,http://WWW.MRTES.COM,Yes,PK,08
2023-2024,NJ,Maywood School District,NJ-033060,3409810,452 Maywood Avenue,NA,NA,Maywood,07607,http://WWW.MAYWOODSCHOOLS.ORG,Yes,PK,08
2023-2024,NJ,Medford Lakes School District,NJ-053070,3409840,44 Neeta Trail,NA,NA,Medford Lakes,08055,http://www.medford-lakes.k12.nj.us,Yes,PK,08
2023-2024,NJ,Medford Township School District,NJ-053080,3409870,137 Hartford Road,NA,NA,Medford,08055,http://www.medford.k12.nj.us,Yes,PK,08
2023-2024,NJ,Mendham Borough School District,NJ-273090,3409900,12 HILLTOP ROAD,NA,NA,MENDHAM,07945,http://www.mendhamboro.org,Yes,PK,08
2023-2024,NJ,Mendham Township School District,NJ-273100,3409930,18 West Main Street,NA,NA,Brookside,07926,http://www.mendhamtwp.org,Yes,PK,08
2023-2024,NJ,Merchantville School District,NJ-073110,3409960,130 S. Centre Street,NA,NA,Merchantville,08109,http://www.merchantvilleschool.org,Yes,PK,08
2023-2024,NJ,Millstone Township School District,NJ-253200,3410230,5 Dawson Court,NA,NA,Millstone Township,08535,http://www.millstone.k12.nj.us,Yes,PK,08
2023-2024,NJ,Milltown School District,NJ-233220,3410290,21 West Church Street,NA,NA,Milltown,08850,http://www.milltownps.org,Yes,PK,08
2023-2024,NJ,Mine Hill Township School District,NJ-273240,3410350,42 Canfield Avenue,NA,NA,Mine Hill,07803,http://www.minehillcas.org,Yes,PK,06
2023-2024,NJ,Monmouth Beach School District,NJ-253250,3410380,7 Hastings Place,NA,NA,Monmouth Beach,07750,http://WWW.MBSCHOOL.ORG,Yes,PK,08
2023-2024,NJ,Montague Township School District,NJ-373300,3410530,475 ROUTE 206,NA,NA,MONTAGUE,07827,http://WWW.MONTAGUESCHOOL.ORG,Yes,PK,08
2023-2024,NJ,Montvale Board of Education School District,NJ-033330,3410620,47 Spring Valley Road,NA,NA,Montvale,07645,http://www.montvalek8.org,Yes,PK,08
2023-2024,NJ,Moonachie School District,NJ-033350,3410680,20 West Park Street,NA,NA,Moonachie,07074,http://www.moonachieschool.org,Yes,PK,08
2023-2024,NJ,Morris Plains School District,NJ-273380,3410770,520 SPEEDWELL AVENUE,Suite 116,NA,MORRIS PLAINS,07950,http://sites.google.com/mpsdk8.org/mpsdk8/home,Yes,PK,08
2023-2024,NJ,Mount Arlington Public School District,NJ-273410,3410860,235 Howard Boulevard,NA,NA,Mount Arlington,07856,http://www.mtartlingtonk8.org,Yes,PK,08
2023-2024,NJ,Mt. Ephraim School District,NJ-073420,3410890,225 W. Kings Highway,NA,NA,Mt. Ephraim,08059,http://www.mtephraimschools.com,Yes,PK,08
2023-2024,NJ,Mount Holly Township Public School District,NJ-053430,3410920,331 Levis Drive,NA,NA,Mt. Holly,08060,http://www.mtholly.k12.nj.us,Yes,PK,08
2023-2024,NJ,Mount Laurel Township School District,NJ-053440,3410950,330 Mount Laurel Road,NA,NA,Mount Laurel,08054,http://mtlaurelschools.org,Yes,PK,08
2023-2024,NJ,Mountainside School District,NJ-393470,3411040,1497 Woodacres Drive,NA,NA,Mountainside,07092,http://www.mountainsideschools.org,Yes,PK,08
2023-2024,NJ,Mullica Township School District,NJ-013480,3411070,500 Elwood Road,NA,NA,Elwood,08217,http://www.mullicaschools.com,Yes,PK,08
