district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
North Hanover Twp,NJ-053650,20958,12297,1556
Northern Burlington Reg,NJ-053690,19077,10062,2043
Palmyra Boro,NJ-053920,18789,10028,1890
Pemberton Twp,NJ-054050,22420,12771,2119
Rancocas Valley Regional,NJ-054320,16588,9380,2008
Riverside Twp,NJ-054450,17089,10322,2005
Riverton,NJ-054460,20410,12472,2406
Shamong Twp,NJ-054740,20726,11658,2434
Southampton Twp,NJ-054930,19574,11096,2296
Springfield Twp,NJ-055010,15511,9009,1274
Tabernacle Twp,NJ-055130,19300,11360,1718
Washington Twp,NJ-055490,0,0,0
Westampton,NJ-055720,17098,9890,1920
Willingboro Twp,NJ-055805,22407,11509,1573
Woodland Twp,NJ-055890,26083,16615,2397
Audubon Boro,NJ-070150,18603,10890,1674
Barrington Boro,NJ-070190,21671,13184,2127
Bellmawr Boro,NJ-070260,17421,10625,1554
Berlin Boro,NJ-070330,15873,10054,1526
Berlin Twp,NJ-070340,18804,11585,1980
Black Horse Pike Regional,NJ-070390,19466,10308,2090
Brooklawn Boro,NJ-070580,21176,13288,1727
Camden City,NJ-070680,30474,15746,2533
Camden County Vocational,NJ-070700,21588,10901,3363
Cherry Hill Twp,NJ-070800,19726,12647,1927
Clementon Boro,NJ-070880,17088,10430,2066
Collingswood Boro,NJ-070940,17653,10252,1638
Eastern Camden County Reg,NJ-071255,18811,10279,1986
Gibbsboro Boro,NJ-071720,23364,13945,2141
Gloucester City,NJ-071770,19516,10585,1875
Gloucester Twp,NJ-071780,17025,11056,1446
Haddon Heights Boro,NJ-071880,17659,10711,2013
Haddon Twp,NJ-071890,16431,8961,2134
Haddonfield Boro,NJ-071900,16023,8711,1692
Laurel Springs Boro,NJ-072540,17354,11044,2531
Lawnside Boro,NJ-072560,22342,11564,2044
Lindenwold Boro,NJ-072670,16643,9977,1564
Magnolia Boro,NJ-072890,23125,14168,2377
Merchantville Boro,NJ-073110,19051,12199,1907
Mount Ephraim Boro,NJ-073420,22867,12068,2229
Oaklyn Boro,NJ-073770,23489,13720,1966
Pennsauken Twp,NJ-074060,21450,11693,2359
Pine Hill Boro,NJ-074110,20760,11688,1659
Runnemede Boro,NJ-074590,20378,11143,2159
Somerdale Boro,NJ-074790,19038,11759,2412
Sterling High School Dist,NJ-075035,19879,10673,2141
Stratford Boro,NJ-075080,19858,11915,1775
Voorhees Twp,NJ-075400,18911,12396,1678
Waterford Twp,NJ-075560,20222,11720,2159
Winslow Twp,NJ-075820,18593,10987,1969
Woodlynne Boro,NJ-075900,22281,13508,2261
Avalon Boro,NJ-090170,33479,17801,2732
Cape May City,NJ-090710,31019,18079,2931
Cape May Co Special Serv,NJ-090715,59829,30062,6531
Cape May Co Vocational,NJ-090720,23524,11826,3502
Dennis Twp,NJ-091080,18156,9031,2075
Lower Cape May Regional,NJ-092820,23502,13414,2437
Lower Twp,NJ-092840,19445,10949,1420
Middle Twp,NJ-093130,16077,8819,1709
North Wildwood City,NJ-093680,50303,27279,2578
Ocean City,NJ-093780,23455,13529,2269
Stone Harbor Boro,NJ-095060,31015,16312,3137
Upper Twp,NJ-095340,17329,9728,2035
West Cape May Boro,NJ-095610,27319,15733,2203
Wildwood City,NJ-095790,25165,13920,2838
Wildwood Crest Boro,NJ-095800,41977,24102,1624
Woodbine Boro,NJ-095840,17881,11818,2009
Bridgeton City,NJ-110540,21984,12520,2247
Commercial Twp,NJ-110950,18263,10223,2073
Cumberland Co Vocational,NJ-110995,20427,10760,2943
Cumberland Regional,NJ-110997,18340,9306,2574
Deerfield Twp,NJ-111020,21164,12199,1837
Downe Twp,NJ-111120,16518,9895,1790
Fairfield Twp,NJ-111460,14842,8572,1906
Greenwich Twp,NJ-111820,24691,11333,2156
Hopewell Twp,NJ-112270,16173,9412,1444
Lawrence Twp,NJ-112570,17054,11208,1551
Maurice River Twp,NJ-113050,20217,10253,2300
Millville City,NJ-113230,19688,11506,1896
Stow Creek Twp,NJ-115070,16627,11161,1481
Upper Deerfield Twp,NJ-115300,20490,11893,1673
Vineland City,NJ-115390,17851,10857,1737
Belleville Town,NJ-130250,18788,10628,2719
Bloomfield Twp,NJ-130410,18316,10558,2381
Caldwell-West Caldwell,NJ-130660,21181,11318,1988
Cedar Grove Twp,NJ-130760,21339,11389,2980
East Orange,NJ-131210,21181,10674,2333
Essex Co Voc-Tech,NJ-131390,28672,11925,5629
Essex Fells Boro,NJ-131400,24085,15022,2391
Fairfield Twp,NJ-131465,20244,11889,2342
Glen Ridge Boro,NJ-131750,19819,11470,2624
Irvington Township,NJ-132330,19344,11095,1225
Livingston Twp,NJ-132730,18576,11976,1828
Millburn Twp,NJ-133190,20694,12223,2009
Montclair Town,NJ-133310,20186,10860,2060
Newark City,NJ-133570,23549,12039,2194
North Caldwell Boro,NJ-133630,22045,12770,2992
Nutley Town,NJ-133750,16601,10213,1835
City of Orange Twp,NJ-133880,20276,11861,2955
Roseland Boro,NJ-134530,21523,12354,2518
South Orange-Maplewood,NJ-134900,20102,12237,1928
Verona Boro,NJ-135370,17375,10126,1874
West Essex Regional,NJ-135630,22669,12642,2386
West Orange Town,NJ-135680,24305,15007,2374
Clayton Boro,NJ-150860,17467,9380,2106
Clearview Regional,NJ-150870,15743,8442,2318
Deptford Twp,NJ-151100,16606,10077,1451
East Greenwich Twp,NJ-151180,16444,9946,1563
Elk Twp,NJ-151330,17618,10461,1782
Franklin Twp,NJ-151590,16552,9721,1685
Gateway Regional,NJ-151715,26163,13097,2184
Glassboro,NJ-151730,18683,10206,2386
Gloucester Co Spec Serv,NJ-151774,61520,32447,7719
Gloucester Co Vocational,NJ-151775,18435,9788,1729
Greenwich Twp,NJ-151830,22139,12120,2217
Harrison Twp,NJ-152070,14716,9405,1693
Kingsway Regional,NJ-152440,14581,8314,1665
Logan Twp,NJ-152750,17443,10163,1512
Mantua Twp,NJ-152990,18265,10876,1865
Monroe Twp,NJ-153280,16345,9400,1728
National Park Boro,NJ-153490,22385,13612,1849
Paulsboro Boro,NJ-154020,21608,11133,2055
Pitman Boro,NJ-154140,19553,11491,1732
South Harrison Twp,NJ-154880,15647,8248,2167
Delsea Regional H.S Dist.,NJ-154940,17948,9757,1801
Swedesboro-Woolwich,NJ-155120,17364,10560,2189
Washington Twp,NJ-155500,19102,11031,2063
Wenonah Boro,NJ-155590,21610,11863,2606
West Deptford Twp,NJ-155620,18606,10825,1735
Westville Boro,NJ-155740,20123,12389,1570
Woodbury City,NJ-155860,19308,11420,2084
Woodbury Heights Boro,NJ-155870,17674,11716,1915
Bayonne City,NJ-170220,18123,9790,1794
East Newark Boro,NJ-171200,23398,11596,3532
Guttenberg Town,NJ-171850,17925,9589,1539
Harrison Town,NJ-172060,18266,10258,2329
Hoboken City,NJ-172210,22824,11325,2426
Hudson County Vocational,NJ-172295,22581,11675,2884
Jersey City,NJ-172390,26144,14914,2618
Kearny Town,NJ-172410,21131,12711,2624
North Bergen Twp,NJ-173610,17827,10188,2363
Secaucus Town,NJ-174730,18687,10557,2511
Union City,NJ-175240,24453,12264,2216
Weehawken Twp,NJ-175580,20978,12242,1950
