district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Blairstown Twp,NJ-410400,19193,11651,1826
Franklin Twp,NJ-411620,23139,13447,2530
Frelinghuysen Twp,NJ-411670,19287,10822,2365
Great Meadows Regional,NJ-411785,18776,10697,1967
Greenwich Twp,NJ-411840,17565,11945,1272
Hackettstown,NJ-411870,19705,11349,1748
Harmony Twp,NJ-412040,27653,17022,2803
Hope Twp,NJ-412250,25391,14970,2598
Knowlton Twp,NJ-412470,20852,11404,2342
Lopatcong Twp,NJ-412790,18571,11711,2032
Mansfield Twp,NJ-412970,17078,10802,1768
North Warren Regional,NJ-413675,22607,11246,2307
Oxford Twp,NJ-413890,21448,12740,1913
Phillipsburg Town,NJ-414100,20320,12365,1937
Pohatcong Twp,NJ-414200,20423,12676,1989
Warren Co Special Service,NJ-415450,0,0,0
Warren County Vocational,NJ-415460,23810,12362,4804
Warren Hills Regional,NJ-415465,21600,11501,2527
Washington Boro,NJ-415480,20229,11965,1168
Washington Twp,NJ-415530,19554,10486,2260
White Twp,NJ-415780,24200,15167,2226
