SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI,GeoId,Geography,Edu_Less_9th,Edu_9th_12th_No_Diploma,Edu_HS_Grad,Edu_Some_College,Edu_Assoc_Degree,Edu_Bach_Degree,Edu_Grad_Prof_Degree,Edu_HS_or_Higher,Edu_Bach_or_Higher,Emp_Labor_Force,Emp_Fem_Labor_Force,Emp_Unemp_Rate,Enroll_Nursery,Enroll_Kindergarten,Enroll_Elem,Enroll_HS,Enroll_College,HH_Married_Children,HH_Avg_Size,Fam_Avg_Size,Housing_Units,Occ_Mgmt_Bus_Sci_Arts,Occ_Service,Occ_Sales_Office,Occ_Nat_Res_Const_Maint,Occ_Prod_Trans_Mat_Mov,Race_White,Race_Black,Race_Amer_Indian_Alaska,Race_Asian,Race_Hawaiian_Pacific,Race_Other,Pop_Under_18,HH_Med_Income,HH_Mean_Income,Fam_Med_Income,Fam_Mean_Income,Fam_Income_150k_199k,Fam_Income_200k_plus,HH_Income_150k_199k,HH_Income_200k_plus,km_euclid,km_maha,km_pc_scaled,km_pc_unscaled,hc_euclid_ward,hc_euclid_mcquitty,hc_pc_dist_scaled_ward,hc_pc_dist_scaled_mcquitty,hc_pc_dist_unscaled_ward,hc_pc_dist_unscaled_mcquitty,euclid_score,mah_score,PC1,PC2,district_name,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost,DistrictName,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,OfficialTotalEnrollment,student_teacher_ratio,student_admin_ratio,dist_colors
2023-2024,NJ,Estell Manor School District,NJ-011410,3404860,128 Cape May Avenue,NA,NA,Estell Manor,08319,http://www.estellmanorschool.com,Yes,PK,08,9700000US3404860,"Estell Manor City School District, NJ",1.1,2,38.2,15.1,8.3,25.4,9.8,96.9,35.2,64.1,58.2,3.7,5.3,2.1,36.3,27.3,29.1,30.9,2.89,3.12,708,37.4,16.4,21.4,14.4,10.3,94.3,2.3,2.5,2.7,0,1.6,22.2,114091,138928,127750,149779,17.7,15.6,15.6,13.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,275,193,0.6449440559092485,1.2341660341838812,Estell Manor City,20201,10984,2359,Estell Manor School District,2023-24,65,62,64,72,71,69,46.5,61.5,58.5,42,80.5,47.5,28,52.6,NA,NA,NA,NA,NA,NA,NA,0.0581666666666667,45.8,32,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0610833333333333,0.0733,11:1,62:1,17,12.3,10.5,75,17.6,35.3,18,10.6,17.3,24.9,15,18,13,21,21,20,19,21,17,20,0,0,0,0,185,184,11,62,Other
2023-2024,NJ,Evesham Township School District,NJ-051420,3404890,25 S. Maple Avenue,NA,NA,Marlton,08053,http://www.evesham.k12.nj.us,Yes,PK,08,9500000US3404890,"Evesham Township School District, NJ",1,1.9,21.3,17.1,7.4,33.9,17.3,97,51.2,68.7,62.2,3.7,7.9,4.2,40.8,20.7,26.4,23.2,2.46,3.19,19900,57.8,11.5,21.7,3.4,5.6,85.9,7.2,0.8,8.1,0,3.6,21,111893,141008,143951,172290,19.4,28.3,15.3,20.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,39,-1.657323908433063,0.8637416030903389,Evesham Twp,16143,9737,1294,Evesham Township School District,2023-24,44,50,51,38,40.5,45,44,47,47,51,56,50.4,23,59.4,NA,NA,NA,NA,NA,NA,NA,0.099428168019767,47,24.8,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.060617110799439,0.0715241320914479,13:1,239:1,342,7.8,5.8,51.3,2,3.2,410,9.4,25.9,9.7,239,436,454,474,466,501,491,473,491,509,0,0,0,0,4534,4467,13,239,Other
2023-2024,NJ,Fair Haven School District,NJ-251440,3404950,224 Hance Road,Fair Haven,NA,Fair Haven,07704,http://www.fairhaven.edu,Yes,PK,08,9500000US3404950,"Fair Haven Borough School District, NJ",0.5,2.4,5.4,9.4,3.2,49.9,29.2,97.1,79.1,70.2,60.3,3.6,15.3,2.8,45.3,25.6,11,40.4,2.95,3.33,2116,59.7,10.4,26.7,1.6,1.6,95.6,3.5,0,1.4,0,2.1,31.2,229643,330233,249125,341099,7.3,60.7,7,56.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,-7.712313191440529,-2.8056955520728435,Fair Haven Boro,18297,12040,1569,Fair Haven School District,2023-24,47,55,58,42,37,68,41.5,45,56,63,52,81.9,40.7,91,NA,NA,NA,NA,NA,NA,NA,0.327675585284281,78.3,42.6,86.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.229045226130653,0.2288125,10:1,136:1,98,10.9,10.8,80.6,1,4.1,44,4.8,15.6,0.4,44,103,89,117,101,112,86,107,95,100,0,0,0,0,954,956,10,136,Fair Haven Boro
2023-2024,NJ,Fairfield Public School District,NJ-131465,3405010,277 Fairfield Road,Suite 208,NA,Fairfield,07004,http://www.fpsk6.org,Yes,PK,06,9500000US3405010,"Fairfield Township School District (Essex County), NJ",1.3,2,23.4,16.6,5.2,32.9,18.5,96.6,51.4,65.7,55.6,10,8.5,6.3,39.1,17.8,28.3,24.4,2.62,3.16,2990,55.4,12.4,24.6,0.6,7.1,96.1,2,0,1.9,0,6.5,21.1,110703,149011,155700,179251,14.9,37.2,11.5,28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,123,220,-1.6534091051811264,0.6211267641670788,Fairfield Twp,20244,11889,2342,Fairfield Public School District,2023-24,43,50,22,65,43,NA,NA,37,72,47,NA,58.2,24.5,63.8,NA,NA,NA,NA,NA,NA,NA,0.1368,47.5,28.3,50.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0663297872340426,0.0663297872340426,10:1,142:1,68,11.9,11.9,79.4,0,16.2,61,9.1,14.4,4.7,34,92,96,99,84,109,108,86,0,0,0,0,0,0,708,703,10,142,Other
2023-2024,NJ,Fairfield Township School District,NJ-111460,3405040,375 Gouldtown-Woodruff Rd.,NA,NA,Bridgeton,08302,http://www.fairfield.k12.nj.us,Yes,PK,08,9500000US3405040,"Fairfield Township School District (Cumberland County), NJ",5.3,14.3,50.7,15.6,5.2,5.5,3.3,80.3,8.8,46.7,57.4,10,8.1,4.2,37.8,20.4,29.4,9.2,2.81,3.45,1846,29.3,23,16.6,13.6,17.5,40,48.5,8.1,2.1,0.4,8.5,18.5,60278,79653,67852,83970,7.9,4.8,6.4,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,552,540,8.10212078290189,-2.9714185119278467,Fairfield Twp,14842,8572,1906,Fairfield Township School District,2023-24,36.5,41.5,38,26,39,25,47,33.5,29,68.5,39.5,11.1,NA,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12:1,129:1,42,11.7,9.8,71.4,4.8,0,82,18.7,11.1,68.5,72,49,53,44,38,49,48,49,54,59,0,0,0,0,515,516,12,129,Other
2023-2024,NJ,Fairview Public School District,NJ-031470,3405070,130 Hamilton Avenue,NA,NA,Fairview,07022,http://www.fairviewps.org,Yes,PK,08,9700000US3405070,"Fairview Borough School District, NJ",17.7,6.9,29.4,15.7,6.1,15.5,8.8,75.4,24.3,66.3,54.7,6.5,4.9,2.6,43,21.6,27.9,14.9,2.56,3.27,5964,32.2,21.4,15.1,11.3,20,68.7,3,0.7,9.8,0,29.2,16.1,59359,90600,66701,110640,8.8,15.3,6.8,11.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,509,489,5.396346395837043,-2.6841993236086616,Fairview Boro,21174,11683,3030,Fairview Public School District,2023-24,42,53,36,37,42,45,50,42,51.5,64,55,17.7,NA,20.4,NA,NA,NA,NA,NA,NA,NA,0.0130862831858407,15.9,NA,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0102436440677966,0.00799744897959184,14:1,144:1,113,9.5,6.9,45.1,0,19.5,110,7.5,16.1,74.5,124,167,176,165,156,146,168,148,157,157,0,0,0,0,1564,1552,14,144,Other
2023-2024,NJ,Farmingdale Public School District,NJ-251490,3405130,49 Academy Street,NA,NA,Farmingdale,07727,http://www.farmingdaleschool.com,Yes,PK,08,9500000US3405130,"Farmingdale Borough School District, NJ",0.1,5.6,27.7,22.1,9.1,28.1,7.3,94.3,35.3,64.1,62.2,11.1,2.9,6.1,28.7,36.8,25.5,22.9,2.44,3.29,567,46.6,20.9,15.9,9.1,7.5,98.3,3.2,0.6,1.7,0,1.6,17.3,93523,104844,113750,127870,22.8,13.1,15.7,7.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,413,355,1.5005811666457094,2.2954696466360067,Farmingdale Boro,21386,13650,1566,Farmingdale Public School District,2023-24,47,48,44,34,63.5,NA,9,19,54,55.5,NA,51.2,23.5,58.2,NA,NA,NA,NA,NA,NA,NA,0.144285714285714,34.5,11.8,40.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0416901408450704,0.0416901408450704,7:1,57:1,25,11.6,6.9,56,0,3.8,22,15.5,20.0,16.5,26,21,13,17,16,17,15,18,13,14,0,0,0,0,170,171,7,57,Other
2023-2024,NJ,Flemington-Raritan Regional School District,NJ-191510,3405190,50 Court Street,NA,NA,Flemington,08822,http://www.frsd.k12.nj.us,Yes,PK,08,9500000US3405190,"Flemington-Raritan Regional School District, NJ",3.1,3.1,15.8,10.5,6,35.5,25.8,93.8,61.4,70.3,66.9,3.4,5.4,4.8,46.3,22.9,20.6,30.8,2.63,3.16,10977,57.3,11.7,19.9,4.9,6.2,84.3,3.7,1,10.7,0.1,7.4,22.1,134691,184278,173429,215279,15.8,42.1,13.1,33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,68,18,-3.202833028903868,-1.0870701511267509,Flemington-Raritan Reg,19974,12436,2390,Flemington-Raritan Regional School District,2023-24,53,55,69,42,62,44,43,63,37,69,48.5,54.4,23.5,61.7,NA,NA,NA,NA,NA,NA,NA,0.111014851485149,53.5,23.1,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0890171149144254,0.0984,10:1,147:1,328,12.9,11.2,72,0.9,7,244,8,21.1,22.3,176,302,332,335,341,366,346,364,361,316,0,0,0,0,3239,3160,10,147,Other
2023-2024,NJ,Florham Park School District,NJ-271530,3405250,67 Ridgedale Aveune,NA,NA,Florham Park,07932,http://www.fpks.org,Yes,PK,08,9500000US3405250,"Florham Park Borough School District, NJ",0.6,1,13.5,11.8,5.3,33.6,34.2,98.4,67.8,62.7,57.1,3.4,7.6,1.8,21.1,15.6,53.8,21.7,2.44,3.15,4778,63.9,7.2,20,4.3,4.6,81.3,7.3,0.2,10.2,0,6.2,16.3,141620,183050,179750,221714,17.5,45.1,15,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,161,280,-4.079072764882966,1.6272610170934894,Florham Park Boro,22562,12732,2535,Florham Park School District,2023-24,43,55,44,72,29,42.5,34,60,61,45,54,70.9,30.4,80.6,NA,NA,NA,NA,NA,NA,NA,0.267586206896552,68.3,37.4,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.199526226734349,0.207250996015936,10:1,118:1,99,10.6,9.7,71.7,2,4,110,12.1,20.5,1.0,37,88,105,110,95,93,120,110,93,91,0,0,0,0,942,939,10,118,Other
2023-2024,NJ,Folsom Borough School District,NJ-011540,3405280,1357 Mays Landing Road,NA,NA,Folsom,08037,http://www.folsomschool.org/,Yes,PK,08,9700000US3405280,"Folsom Borough School District, NJ",4.3,3.8,37.6,18.6,6.6,18.2,10.8,91.9,29,69.5,68.2,7.9,3.9,7.6,42.3,26.9,19.3,19.7,2.72,3.14,662,41.9,17.2,20.9,9.2,10.8,94.1,1.7,0.3,0.8,0.4,9,18.7,112989,137600,124375,158030,12.1,18.4,11.4,16.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,285,364,1.7560989810182255,0.30498315611977533,Folsom Boro,18041,10549,2217,Folsom Borough School District,2023-24,34,60,64,26,27.5,25.5,35,66,58,48.5,66.5,41.1,10.3,50.5,NA,NA,NA,NA,NA,NA,NA,0.0689711934156379,42.3,17.2,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324576271186441,0.0386868686868687,10:1,123:1,37,12.2,9.6,78.4,0,8.1,8,2.2,20.8,23.0,14,40,37,37,39,38,40,44,37,44,0,0,0,0,370,375,10,123,Other
2023-2024,NJ,Frankford Township Consolidated School District,NJ-371560,3405340,2 Pines Road,NA,NA,Branchville,07826,http://www.frankfordschool.org,Yes,PK,08,9500000US3405340,"Frankford Township School District, NJ",1.2,3.3,30.6,19.9,7.9,23.6,13.6,95.6,37.1,65.7,61.6,4.1,7.6,9.2,39.3,19,25,16.3,2.58,2.94,2945,44.5,11.8,19.7,13.9,10.1,92.3,2.3,0.2,4.2,0,7.2,18.1,111761,128289,125976,140364,16.4,19.4,16.9,16.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,294,316,0.7723864713367863,2.003803650362645,Frankford Twp,20660,13150,2356,Frankford Township Consolidated School District,2023-24,59,48.5,37,65,85,47.5,58,18,52,57,64,58.6,21.3,67.4,NA,NA,NA,NA,NA,NA,NA,0.122090032154341,36.4,18,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0468167202572347,0.056875,9:1,127:1,58,12.8,9.5,75.9,3.4,0,48,10.1,21.1,4.5,31,60,42,56,51,57,47,52,57,55,0,0,0,0,508,502,9,127,Other
2023-2024,NJ,Franklin Lakes School District,NJ-031580,3405370,490 Pulis Avenue,NA,NA,Franklin Lakes,07417,http://www.franklinlakes.k12.nj.us,Yes,PK,08,9500000US3405370,"Franklin Lakes Borough School District, NJ",0.5,0.5,9.6,7.7,4.3,41.5,35.8,99,77.3,55.8,49.1,4.4,5.7,2.4,46.6,27.6,17.8,35.8,2.92,3.2,3876,67.4,6.7,20.5,3.6,1.8,86.3,3.7,0,10.7,0,6.3,24.8,204917,297367,232224,328622,8.6,59.5,10.4,52.1,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,4,-7.373073280288231,-1.8162476456711865,Franklin Lakes Boro,28223,17218,2516,Franklin Lakes School District,2023-24,52,48,46,53.5,59,70,36,41.5,44,60.5,45,71.5,31.3,79.9,NA,NA,NA,NA,NA,NA,NA,0.265851755526658,66.9,37.1,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.168692810457516,0.18250406504065,8:1,111:1,145,11.8,11.8,69.7,0,0.7,92,8,19.7,2.3,51,108,122,136,144,129,132,123,121,134,0,0,0,0,1200,1201,8,111,Other
2023-2024,NJ,Franklin Borough School District,NJ-371570,3405400,50 Washington Avenue,NA,NA,Franklin,07416,http://www.fboe.org,Yes,PK,08,9500000US3405400,"Franklin Borough School District, NJ",2,6.6,41.7,25.5,5.4,13.4,5.4,91.4,18.8,62.6,58.7,7.1,8.5,12.7,37.6,16.6,24.5,11.8,2.21,3.08,2348,31,21.4,17.3,15.4,14.9,90.2,4.5,1.8,0.3,0,14.1,17,87558,87787,95000,108031,11.9,8.5,9.2,4.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,500,418,4.8868918312068,1.4600171403945972,Franklin Boro,21508,12292,1597,Franklin Borough School District,2023-24,46,53,40,60,43.5,41.5,63,54.5,67,39,49,46.2,11.4,57.2,NA,NA,NA,NA,NA,NA,NA,0.117748344370861,32.3,NA,39.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0531229235880399,0.0629527559055118,10:1,129:1,50,13.9,11.4,75.5,0,6,64,14.5,22.5,45.2,74,43,46,49,51,42,48,57,59,47,0,0,0,0,516,502,10,129,Other
2023-2024,NJ,Township of Franklin School District,NJ-151590,3405430,3228 Coles Mill Road,NA,NA,Franklinville,08322,http://www.franklintwpschools.org,Yes,PK,06,9500000US3405430,"Franklin Township School District (Gloucester County), NJ",3.6,8.5,39.9,19.5,7.8,13.6,7.2,87.9,20.7,65.2,61.7,6.2,7.1,2.6,44.2,22.1,24,22.7,2.88,3.2,6088,35.7,16.5,18.1,16.6,13.2,86.3,11,1.1,1.8,0.2,5.8,20.9,94926,110472,101627,118978,12.6,14,11.4,12.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,392,213,3.6327738708033936,-0.36964150187531986,Franklin Twp,16552,9721,1685,Township of Franklin School District,2023-24,62,56,57,61,69,NA,NA,51,60,61,NA,47.5,16.4,55.6,NA,NA,NA,NA,NA,NA,NA,0.0716621253405995,40.7,20,46.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0588767123287671,0.0588767123287671,11:1,166:1,116,11.1,8.7,59.5,3.4,16.4,197,15.4,19.5,20.3,57,172,179,168,172,184,200,193,0,0,0,0,0,0,1325,1326,11,166,Other
2023-2024,NJ,Franklin Township School District,NJ-191600,3405460,226 Quakertown Road,NA,NA,Quakertown,08868,http://www.ftschool.org,Yes,PK,08,9500000US3405460,"Franklin Township School District (Hunterdon County), NJ",1.4,2.2,25.7,16,5.7,31.9,17,96.3,49,69.6,62.6,2.4,1.8,1.5,18.7,22.4,55.5,17,2.68,3.08,1262,42.1,13.3,29.1,12.1,3.5,96.8,0.2,0,0.8,0,7.9,11.6,151563,177564,174773,194466,17.3,41.6,15,36.5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,259,395,-1.7437338267555265,3.126855328922562,Franklin Twp,28351,13142,2443,Franklin Township School District,2023-24,43,46,46,38,36,48.5,41.5,32,41.5,63,67,49.4,13.9,59.1,NA,NA,NA,NA,NA,NA,NA,0.0463313609467456,58.3,13.9,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0704705882352941,0.0754135338345865,9:1,96:1,33,8.1,6.3,48.5,0,0,17,6.5,21.9,5.9,26,29,27,26,37,39,24,18,24,38,0,0,0,0,288,271,9,96,Other
2023-2024,NJ,Franklin Township School District,NJ-411620,3405520,52 Asbury-Broadway Road,NA,NA,Washington,07882,http://www.franklinschool.org,Yes,PK,06,9500000US3405520,"Franklin Township School District (Warren County), NJ",0.3,3.1,29.6,19.1,11.2,23.6,13.1,96.6,36.7,67.7,65.3,5.4,7,5.3,31.5,28,28.2,29.7,2.75,3.11,1201,45.7,16.1,18.2,12.1,7.9,92.3,0.7,0.1,3.2,0,8.5,19.7,121193,149164,149261,171363,21.2,28,16.9,22.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,246,177,-0.27051999904963264,1.6798341316217364,Franklin Twp,23139,13447,2530,Franklin Township School District,2023-24,46,68,28,70,60.5,NA,NA,64,70.5,65.5,NA,47.7,NA,50.6,NA,NA,NA,NA,NA,NA,NA,0.0456818181818182,52.9,NA,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0577528089887641,0.0577528089887641,8:1,73:1,27,13.3,12.0,66.7,3.7,3.7,14,8.1,11.9,19.7,43,24,33,26,26,28,21,17,0,0,0,0,0,0,218,215,8,73,Other
2023-2024,NJ,Fredon Township School District,NJ-371630,3405550,459 Route #94S,NA,NA,Newton,07860,http://www.fredon.org,Yes,PK,06,9500000US3405550,"Fredon Township School District, NJ",1.3,1.3,21.5,15.4,11.3,28.9,20.3,97.5,49.2,63.5,62.5,2.6,7.3,1.6,37.7,32.2,21.2,30.6,2.84,3.12,1251,58.2,9.5,17.3,11.3,3.7,95.4,1.7,1.2,1.9,0,5.5,21.8,144643,196041,171667,216049,17.8,37.3,16.5,32.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,128,263,-2.8484805300394864,0.9299370888591297,Fredon Twp,23058,10582,2779,Fredon Township School District,2023-24,61.5,65.5,48,53,70,NA,NA,71,38,66.5,NA,65.7,42.1,71.3,NA,NA,NA,NA,NA,NA,NA,0.13,47.5,31.6,51.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0686138613861386,0.0686138613861386,11:1,52:1,19,13.4,11.9,73.7,0,0,12,6.9,16.7,4.3,32,29,24,24,21,33,22,24,0,0,0,0,0,0,209,186,11,52,Other
2023-2024,NJ,Freehold Borough School District,NJ-251640,3405580,280 Park Avenue,NA,NA,Freehold,07728,http://www.freeholdboro.k12.nj.us,Yes,PK,08,9500000US3405580,"Freehold Borough School District, NJ",11.5,11.1,22.8,13.7,10.9,19.9,10.1,77.5,30.1,72.8,68.4,8.2,8.6,1.5,48.1,25.4,16.4,17.5,2.83,3.31,4541,28,28.7,16.8,5.3,21.2,60.8,14.7,7.3,2.2,0,25.4,26.9,71205,95122,93565,105525,7.9,10.5,6.6,8.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,520,513,5.7032301700055665,-4.600162538572649,Freehold Boro,21617,13588,2436,Freehold Borough School District,2023-24,52,46,59.5,56.5,30,52,60.5,59,42,42,41,40.4,11.1,46.8,NA,NA,NA,NA,NA,NA,NA,0.0843070362473348,25.6,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0209538461538462,0.025633626097867,10:1,144:1,166,11.7,8.4,70.1,4.2,13.3,169,11.6,20.1,76.7,136,137,161,165,158,148,159,166,171,180,0,0,0,0,1581,1586,10,144,Other
2023-2024,NJ,Freehold Township School District,NJ-251660,3405640,384 West Main Street,NA,NA,Freehold,07728,http://www.freeholdtwp.k12.nj.us,Yes,PK,08,9500000US3405640,"Freehold Township School District, NJ",2.4,3.6,21.4,13.6,8,30.8,20.3,94.1,51.1,65.9,60.8,3.3,8.8,4.1,45.1,21.7,20.3,26.1,2.69,3.24,13437,52.6,14,21.1,5.9,6.5,87.7,5.9,0.2,7.6,0,4.2,21.6,130911,156202,163760,182094,18.8,37.7,15.7,29.9,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,106,71,-1.9863865875521145,-0.09856396502277262,Freehold Twp,22765,13173,2438,Freehold Township School District,2023-24,50,48,54.5,56,44,38.5,57.5,39,55,48.5,48,63.8,25.8,73.6,NA,NA,NA,NA,NA,NA,NA,0.16875,56.8,21.7,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.119196310935441,0.127012358946803,10:1,146:1,347,12.7,11.0,77.2,0.3,11.2,460,13.8,19.9,13.6,158,322,329,368,357,395,379,377,392,413,0,0,0,0,3490,3453,10,146,Other
2023-2024,NJ,Frelinghuysen Township School District,NJ-411670,3405670,780 Route 94,NA,NA,Newton,07860,http://WWW.FRELINGHUYSENSCHOOL.ORG,Yes,PK,06,9500000US3405670,"Frelinghuysen Township School District, NJ",1.6,1.1,23.4,11.9,7.4,39.4,15.2,97.4,54.6,55.3,47.4,9.8,5.8,5.4,27.2,23.5,38,20.6,2.71,3.1,791,58.1,16.1,10.6,7.6,7.7,95.8,2.3,0,1.6,0,1.6,16.3,117727,151271,131500,176743,17.1,27.6,13.2,22.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,257,432,-1.4571797451362283,1.8333846629981343,Frelinghuysen Twp,19287,10822,2365,Frelinghuysen Township School District,2023-24,55,49,69.5,54,51,NA,NA,69.5,40,62,NA,57.4,NA,64.4,NA,NA,NA,NA,NA,NA,NA,0.135294117647059,50,NA,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,10:1,120:1,12,12.0,8.2,63.6,8.3,0,6,5.6,15.8,13.3,13,12,15,12,17,12,17,22,0,0,0,0,0,0,120,119,10,120,Other
2023-2024,NJ,Frenchtown Borough School District,NJ-191680,3405700,902 Harrison St.,NA,NA,Frenchtown,08822,http://www.dvrhs.org/FTSD,Yes,PK,08,9500000US3405700,"Frenchtown Borough School District, NJ",0.8,1.5,21.9,16,10.8,29.1,19.9,97.7,48.9,68.8,69.7,3.7,1.9,4.3,57.1,25.8,11,25.3,2.54,3.26,650,48.6,17.2,20,6.3,7.8,91.6,2.6,0.5,6.1,0,7.4,29.9,99018,131015,124531,159154,12,18.1,10.7,14.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,185,366,-0.5011241838460609,-0.3663866806305174,Frenchtown Boro,27516,15949,2411,Frenchtown Borough School District,2023-24,45,36.5,49,NA,72,34,NA,35,NA,52,34,53.4,NA,68.9,NA,NA,NA,NA,NA,NA,NA,NA,32.8,NA,42.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,7:1,104:1,16,13.3,9.3,75,6.3,5.9,20,22,22.1,21.2,14,10,6,14,10,15,5,11,11,8,0,0,0,0,104,101,7,104,Other
2023-2024,NJ,Galloway Township Public School District,NJ-011690,3405730,101 S REEDS ROAD,NA,NA,GALLOWAY,08205,http://WWW.GTPS.K12.NJ.US,Yes,PK,08,9500000US3405730,"Galloway Township School District, NJ",3.7,3.6,32.5,18.4,9,20.7,12.1,92.7,32.7,60.6,55.7,4.9,4.2,2.7,31.7,15.1,46.4,14,2.54,3.07,14490,38.7,25,19.9,7.9,8.7,75.2,13.1,1,9,0.1,10.8,17.3,86799,104545,95853,117971,13.6,10.8,11.1,8.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,425,372,2.8720449027924024,1.3309433682637017,Galloway Twp,21002,13268,2111,Galloway Township Public School District,2023-24,39,42,49,35,55,30,28,49,52,38,33,31.3,NA,37.6,NA,NA,NA,NA,NA,NA,NA,0.0438938053097345,31.8,10,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0301648634724369,0.0317076167076167,10:1,173:1,300,14.7,13.3,86.2,0,6,408,14.4,20.5,48.8,249,285,294,283,308,331,323,324,384,331,0,0,0,0,3112,3087,10,173,Other
