DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Plainfield Public School District,NJ-394160,2023-24,41.0,44.0,33,46,39,38,48,40,40,53.5,45,20.8,<10%,23.3,NA,NA,NA,NA,NA,NA,NA,0.02574131736526946,15.0,<10%,16.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008579456057541021,0.012105930859498891,16:1,191:1,634,13.7,9.4,65.1,3.5,21.8,2496,29.1,13.6,75.9,1668,731,734,742,727,691,676,582,537,690,669,591,575,497,10110
Rahway Public School District,NJ-394290,2023-24,51.0,46.0,51,49,54,40,59,43,38,47,56.5,38.5,12.2,45.8,NA,NA,NA,NA,NA,NA,NA,0.06573033707865168,19.1,<10%,22.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.010946149974836436,0.015783744557329463,13:1,146:1,334,11.4,11.4,73.7,1.5,4.5,1031,26.4,19.0,56.2,400,263,289,277,285,272,295,279,321,293,319,332,323,290,4238
Roselle Public School District,NJ-394540,2023-24,34.0,34.5,43,23,31,38,35.5,53,26,33,31,32.2,<10%,36.4,NA,NA,NA,NA,NA,NA,NA,0.058212684176809734,14.5,<10%,15.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007141971481711097,0.009746192893401015,13:1,90:1,245,7.6,7.6,58.8,5.7,15.9,430,14.1,14.9,62.3,108,242,216,222,240,227,252,229,261,227,217,247,235,228,3151
Roselle Park Public School District,NJ-394550,2023-24,56.0,55.0,61,75,47,52.5,48,46,62.5,54,58,55.6,25.7,64.2,NA,NA,NA,NA,NA,NA,NA,0.16538617886178864,31.2,14.2,35.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0324428997020854,0.043283358320839585,12:1,158:1,170,14.9,13.8,85.3,2.9,6.5,270,14.0,19.6,45.2,153,125,145,147,142,148,134,137,152,156,149,141,162,165,2056
Scotch Plains-Fanwood School District,NJ-394670,2023-24,55.0,46.0,63,43,47,59.5,64.5,60,31.5,31,63.5,70.2,26.4,80.2,NA,NA,NA,NA,NA,NA,NA,0.23552853765619722,58.0,22.2,66.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10927272727272729,0.13403682719546742,12:1,204:1,457,12.9,11.5,76.8,0,3.7,494,8.8,17.5,4.4,186,425,442,498,399,425,439,451,423,458,401,362,379,395,5683
Springfield Public School District,NJ-395000,2023-24,44.0,39.0,49,48,39,34.5,50.5,53,43,29,39,62.2,20.8,70.2,NA,NA,NA,NA,NA,NA,NA,0.19965672990063235,47.6,16.1,53.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09101893597835888,0.1187450980392157,13:1,145:1,170,14.1,13.0,85.3,0.6,5.9,218,10.4,15.2,13.4,116,145,156,163,147,173,146,149,172,171,153,171,172,146,2180
Summit Public School District,NJ-395090,2023-24,58.0,54.0,69,59,41,51,71,53.5,57,43,61,82.6,50.0,88.0,NA,NA,NA,NA,NA,NA,NA,0.40307765602667933,72.6,39.4,78.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23574065309985803,0.2763076923076923,11:1,129:1,370,9.2,9.2,66.5,1.4,6.8,309,7.8,12.8,13.4,49,277,332,303,326,325,291,293,293,348,300,293,292,288,4010
Township of Union School District,NJ-395290,2023-24,51.0,49.0,48,45,55,47,55.5,45,46,61.5,46,46.8,13.9,53.4,NA,NA,NA,NA,NA,NA,NA,0.11706969376979937,29.9,10.8,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03405657928886582,0.039732838589981445,13:1,196:1,603,11.7,10.5,75.4,2.5,6.8,1252,17.0,16.3,46.1,560,519,525,543,530,540,563,550,578,589,583,585,633,551,7849
Westfield Public School District,NJ-395730,2023-24,49.0,50.0,59,52,29,46,57,58,56,47,43,77.4,40.8,87.5,NA,NA,NA,NA,NA,NA,NA,0.2574474474474474,71.0,34.6,81.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1747042930051036,0.2075265618359541,12:1,204:1,508,13.2,13.1,83.1,0.2,2.7,138,2.3,20.4,1.7,108,178,482,476,464,459,526,468,452,524,437,422,444,464,5904
Winfield Township,NJ-395810,2023-24,52.0,48.5,44,*,46,59,80.5,32.5,*,66,62,58.2,<10%,68.2,NA,NA,NA,NA,NA,NA,NA,NA,22.8,<10%,25.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8:1,46:1,18,14.8,9.7,88.9,0,5.6,10,8.1,12.9,22.3,17,14,12,16,16,15,9,13,15,12,0,0,0,0,139
Allamuchy Township School District,NJ-410030,2023-24,53.0,55.0,36,43,50.5,63,60.5,36,35,71,75,48.9,18.0,56.0,NA,NA,NA,NA,NA,NA,NA,0.09018796992481203,44.8,20.0,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051353383458646616,0.05046948356807512,12:1,111:1,37,12.5,12.3,70.3,5.4,10.5,49,12.3,18.7,9.9,47,46,40,41,47,28,44,56,43,53,0,0,0,0,445
Alpha Borough School District,NJ-410070,2023-24,57.0,56.0,58,28.5,63,70,52,58.5,46.5,66.5,54.5,48.6,<10%,54.1,NA,NA,NA,NA,NA,NA,NA,0.11897058823529412,37.0,12.5,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.093125,0.10365217391304347,11:1,216:1,20,18.9,14.2,90.0,5.0,5.0,32,15.5,18.5,36.6,14,22,19,25,27,16,20,22,30,21,0,0,0,0,216
Belvidere School District,NJ-410280,2023-24,37.0,34.0,27,30.5,37,39,50.5,22,28,45,39,26.9,<10%,32.0,NA,NA,NA,NA,NA,NA,NA,0.02366071428571429,21.2,<10%,27.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.013183856502242155,0.022615384615384617,10:1,97:1,57,17.5,14.9,86.0,1.8,5.3,140,26.0,19.6,27.7,43,18,19,18,23,17,26,27,46,31,66,82,76,89,581
Blairstown Elementary Township School District,NJ-410400,2023-24,50.0,50.0,49,50,49,NA,NA,46.5,43,69.5,NA,38.8,<10%,46.4,NA,NA,NA,NA,NA,NA,NA,0.017499999999999998,36.1,11.4,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03955555555555556,0.03955555555555556,10:1,107:1,43,15.4,14.0,88.4,2.3,0,66,16.6,23.4,15.7,30,60,53,54,53,76,53,49,0,0,0,0,0,0,428
Franklin Township School District,NJ-411620,2023-24,46.0,68.0,28,70,60.5,NA,NA,64,70.5,65.5,NA,47.7,*,50.6,NA,NA,NA,NA,NA,NA,NA,0.04568181818181818,52.9,*,54.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05775280898876405,0.05775280898876405,8:1,73:1,27,13.3,12.0,66.7,3.7,3.7,14,8.1,11.9,19.7,43,24,33,26,26,28,21,17,0,0,0,0,0,0,218
Frelinghuysen Township School District,NJ-411670,2023-24,55.0,49.0,69.5,54,51,NA,NA,69.5,40,62,NA,57.4,*,64.4,NA,NA,NA,NA,NA,NA,NA,0.13529411764705881,50.0,*,54.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06,0.06,10:1,120:1,12,12.0,8.2,63.6,8.3,0,6,5.6,15.8,13.3,13,12,15,12,17,12,17,22,0,0,0,0,0,0,120
Great Meadows Regional School District,NJ-411785,2023-24,42.0,52.0,45,44,47,26,31.5,39.5,57,72,37,57.5,17.5,67.6,NA,NA,NA,NA,NA,NA,NA,0.1252896725440806,48.6,17.5,56.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06737373737373738,0.06964705882352941,12:1,165:1,54,13.8,11.5,85.2,1.9,7.4,95,15.4,20.4,15.6,40,72,63,78,63,72,71,72,72,58,0,0,0,0,661
Greenwich Township School District,NJ-411840,2023-24,58.0,63.0,58,61,61,69,36,50,62,63,74,63.0,20.2,74.7,NA,NA,NA,NA,NA,NA,NA,0.19868354430379748,49.7,10.7,60.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12128463476070529,0.10153374233128835,12:1,209:1,54,15.5,13.8,86.5,3.7,0,68,11.6,19.1,12.3,42,57,71,53,54,69,68,58,81,73,0,0,0,0,627
Hackettstown Public School District,NJ-411870,2023-24,54.0,50.0,59,37,28,81,62,56,29,32.5,81,52.4,20.7,60.4,NA,NA,NA,NA,NA,NA,NA,0.15427455357142855,41.0,19.6,46.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.052154515778019585,0.07074324324324324,11:1,126:1,180,11.6,10.7,71.1,0,8.9,268,13.6,20.9,33.3,69,122,108,111,105,137,128,117,120,126,218,228,203,229,2021
Harmony Township School District,NJ-412040,2023-24,41.0,45.5,65,44,36.5,41,41,31.5,48,43,52,32.5,<10%,40.6,NA,NA,NA,NA,NA,NA,NA,0.031300813008130084,41.5,14.8,49.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.033902439024390246,0.04088235294117647,7:1,185:1,28,12.9,8.9,71.4,3.6,0,23,13.8,20.0,16.2,19,11,18,14,14,18,22,30,19,20,0,0,0,0,185
Hope Township School District,NJ-412250,2023-24,53.0,54.5,39,44,66.5,*,53,25.5,59.5,96,*,49.4,15.4,66.0,NA,NA,NA,NA,NA,NA,NA,NA,43.0,23.1,52.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05843137254901961,0.05843137254901961,7:1,69:1,21,13.1,12.6,81.0,4.8,9.5,13,10.7,29.2,9.5,13,15,10,16,13,17,13,17,9,12,0,0,0,0,135
Knowlton Township School District,NJ-412470,2023-24,61.5,50.5,38,78,75.5,NA,NA,44,50.5,59,NA,59.8,18.8,69.0,NA,NA,NA,NA,NA,NA,NA,0.06943181818181819,42.5,18.8,47.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05670454545454546,0.05670454545454546,9:1,62:1,20,16.9,15.6,85.0,0,5.0,13,7.7,18.4,14.6,19,29,22,25,18,22,22,28,0,0,0,0,0,0,185
Lopatcong Township School District,NJ-412790,2023-24,61.0,65.0,29.5,57,47,79.5,73,44.5,88,52,68.5,55.8,22.5,62.8,NA,NA,NA,NA,NA,NA,NA,0.1384913793103448,53.0,31.3,57.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11831556503198293,0.12603174603174602,11:1,185:1,68,12.3,10.4,55.9,1.5,1.5,79,11.4,19.3,16.2,39,72,70,67,64,73,76,90,91,96,0,0,0,0,741
Mansfield Township Elementary School District,NJ-412970,2023-24,52.0,53.0,52.5,56,46,NA,NA,52,57,49,NA,44.3,14.8,51.6,NA,NA,NA,NA,NA,NA,NA,0.05094771241830065,33.1,13.1,37.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.034763406940063094,0.034763406940063094,10:1,145:1,61,15.7,13.1,82.0,3.3,1.6,74,13.5,19.7,38.6,30,75,77,75,66,91,90,76,0,0,0,0,0,0,580
North Warren Regional,NJ-413675,2023-24,40.0,44.0,NA,NA,NA,45,31,NA,NA,NA,44,45.6,<10%,57.5,NA,NA,NA,NA,NA,NA,NA,0.08466216216216216,30.3,<10%,38.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,11:1,77:1,58,14.7,13.1,77.6,12.1,3.4,90,14.4,18.5,13.2,0,0,0,0,0,0,0,0,108,102,87,96,106,116,615
Oxford Township School District,NJ-413890,2023-24,50.5,42.0,51.5,69,44,52,48,36.5,35,52,47,49.7,<10%,56.3,NA,NA,NA,NA,NA,NA,NA,0.08259493670886077,41.4,18.2,45.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03158227848101266,0.039603174603174605,8:1,136:1,32,12.9,10.2,53.1,6.3,0,19,7.9,16.6,23.6,29,25,29,27,20,35,15,34,24,32,0,0,0,0,271
