DistrictName,ST_LEAID,SchoolYear,mSGP_ELA,mSGP_Math,mSGP_ELA Grade 4,mSGP_ELA Grade 5,mSGP_ELA Grade 6,mSGP_ELA Grade 7,mSGP_ELA Grade 8,mSGP_Math Grade 4,mSGP_Math Grade 5,mSGP_Math Grade 6,mSGP_Math Grade 7,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_ME_Grade 03,ELA_ME_Grade 04,ELA_ME_Grade 05,ELA_ME_Grade 06,ELA_ME_Grade 07,ELA_ME_Grade 08,ELA_ME_Grade 09,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_ME_Algebra I,MATH_ME_Grade 03,MATH_ME_Grade 04,MATH_ME_Grade 05,MATH_ME_Grade 06,MATH_ME_Grade 07,MATH_ME_Grade 08,MATH_ME_Algebra II,MATH_ME_Geometry,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_School,TeacherAvgYearsExp_School,TeacherAvgYearsExpInDistrict_School,PercentageTeacherInDistrict4YearsOrMore_School,PercentageOfOutOfFieldTeachers,PercentageTeachersWithProvisionalCredentials_School,Chronic_Abs_Count,Chronic_Abs_Pct,Students with Disabilities,Economically Disadvantaged Students,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment
Absecon Public Schools District,NJ-010010,2023-24,55.0,58.0,37,48,74.5,68,42,29,54,71,65,49.1,13.2,56.3,NA,NA,NA,NA,NA,NA,NA,0.09426497277676951,35.3,10.9,40.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03763345195729538,0.04150326797385621,10:1,136:1,97,12.5,10.1,66.0,0,15.5,122,15.2,18.1,47.5,137,77,87,76,85,87,80,114,105,106,0,0,0,0,954
Atlantic City School District,NJ-010110,2023-24,51.0,45.0,41,47,52.5,59,55.5,37,40,55,44.5,33.2,<10%,38.3,NA,NA,NA,NA,NA,NA,NA,0.08738409475465314,20.1,<10%,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.026867588932806327,0.03143121815655396,10:1,187:1,658,14.2,12.8,72.9,0.3,9.2,1840,31.6,15.8,83.5,565,489,453,435,411,454,420,492,435,493,483,425,405,398,6358
Brigantine Public School District,NJ-010570,2023-24,49.0,57.0,43,69.5,42,82.5,29.5,53.5,57.5,44,65.5,50.5,21.4,57.6,NA,NA,NA,NA,NA,NA,NA,0.08356807511737088,45.5,23.8,50.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04074418604651163,0.048666666666666664,6:1,95:1,60,16.5,15.1,80.0,1.7,5.0,65,20.2,19.8,30.4,55,32,38,38,27,36,39,38,41,34,0,0,0,0,378
Buena Regional School District,NJ-010590,2023-24,50.0,49.0,48,57,27,79,44.5,44,48,47,58,31.6,10.1,37.4,NA,NA,NA,NA,NA,NA,NA,0.04579601990049751,18.1,<10%,21.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.007268232385661311,0.008170515097690942,11:1,101:1,143,13.4,12.3,76.2,1.4,10.5,360,24.1,18.0,53.4,143,86,97,92,115,115,110,108,111,117,136,119,115,144,1608
Egg Harbor City School District,NJ-011300,2023-24,33.0,37.0,30,40,28,29,49,18.5,48,51,37.5,<10%,<10%,10.0,NA,NA,NA,NA,NA,NA,NA,NA,<10%,<10%,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0028486646884272994,0,9:1,112:1,63,8.1,7.7,63.5,3.2,17.5,116,23.1,25.9,57.3,67,56,52,62,48,53,49,60,55,58,0,0,0,0,560
Egg Harbor Township School District,NJ-011310,2023-24,45.0,45.0,49,32,46,40.5,61,45,40,48,48,40.4,12.0,47.3,NA,NA,NA,NA,NA,NA,NA,0.07925885558583107,29.0,<10%,33.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03260244811069718,0.03933623073883841,11:1,169:1,684,14.1,12.6,79.6,1.8,4.9,943,13.7,18.2,45.5,597,406,465,481,469,495,545,581,561,569,590,542,566,586,7453
Estell Manor School District,NJ-011410,2023-24,65.0,62.0,64,72,71,69,46.5,61.5,58.5,42,80.5,47.5,28.0,52.6,NA,NA,NA,NA,NA,NA,NA,0.05816666666666667,45.8,32.0,49.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06108333333333334,0.0733,11:1,62:1,17,12.3,10.5,75.0,17.6,35.3,18,10.6,17.3,24.9,15,18,13,21,21,20,19,21,17,20,0,0,0,0,185
Folsom Borough School District,NJ-011540,2023-24,34.0,60.0,64,26,27.5,25.5,35,66,58,48.5,66.5,41.1,10.3,50.5,NA,NA,NA,NA,NA,NA,NA,0.06897119341563787,42.3,17.2,50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03245762711864407,0.038686868686868686,10:1,123:1,37,12.2,9.6,78.4,0,8.1,8,2.2,20.8,23.0,14,40,37,37,39,38,40,44,37,44,0,0,0,0,370
Galloway Township Public School District,NJ-011690,2023-24,39.0,42.0,49,35,55,30,28,49,52,38,33,31.3,<10%,37.6,NA,NA,NA,NA,NA,NA,NA,0.04389380530973451,31.8,10.0,37.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030164863472436892,0.03170761670761671,10:1,173:1,300,14.7,13.3,86.2,0,6.0,408,14.4,20.5,48.8,249,285,294,283,308,331,323,324,384,331,0,0,0,0,3112
Hamilton Township School District,NJ-011940,2023-24,43.0,50.0,53.5,38,34,46.5,49,60,43,39,58,31.0,10.0,36.6,NA,NA,NA,NA,NA,NA,NA,0.062214285714285715,26.9,11.0,31.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.027317073170731707,0.02962830593280915,11:1,181:1,257,12.6,12.5,75.4,0.4,21.8,547,21.7,21.0,54.5,380,266,251,266,270,276,294,292,314,284,0,0,0,0,2893
Hammonton School District,NJ-011960,2023-24,48.0,38.0,31,30,68,50,51,43,45,42,32,52.8,15.9,60.5,NA,NA,NA,NA,NA,NA,NA,0.19345915841584158,37.4,11.2,42.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047897310513447436,0.05952047952047952,13:1,164:1,257,13.9,13.3,82.5,0.4,8.2,470,14.9,15.8,41.0,142,149,165,168,174,181,157,193,314,326,327,309,361,294,3260
Linwood City School District,NJ-012680,2023-24,62.0,58.0,70,55,73,66,45.5,59.5,63,45,59.5,71.7,33.3,78.3,NA,NA,NA,NA,NA,NA,NA,0.21817288801571708,68.2,43.4,72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1421372549019608,0.1605966587112172,11:1,136:1,72,15.7,12.9,79.2,1.4,6.8,85,11.3,18.1,7.7,63,76,80,77,91,71,91,81,90,94,0,0,0,0,814
Margate City School District,NJ-013020,2023-24,58.0,67.0,55,47.5,58,79,57.5,73,71.5,46,73,77.6,37.8,86.6,NA,NA,NA,NA,NA,NA,NA,0.31126829268292683,71.9,32.4,80.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1733816425120773,0.1572514619883041,6:1,80:1,50,14.8,13.5,74.0,0,2.0,28,8.9,21.9,4.1,4,34,39,32,37,38,28,44,26,35,0,0,0,0,317
Mullica Township School District,NJ-013480,2023-24,51.5,54.0,63,27,59,49,59.5,57,44.5,61,52,43.7,13.8,51.9,NA,NA,NA,NA,NA,NA,NA,0.07745308310991958,32.1,12.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.021336898395721927,0.025993485342019545,10:1,107:1,61,10.5,9.7,67.2,0,11.5,93,17.6,20.2,38.0,99,50,47,55,57,71,51,53,81,68,0,0,0,0,632
Northfield City School District,NJ-013720,2023-24,44.0,51.0,37,50,27,81,32.5,38.5,54,65.5,42,57.7,20.7,67.3,NA,NA,NA,NA,NA,NA,NA,0.13694885361552028,52.5,19.0,61.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08564147627416521,0.09256521739130436,9:1,190:1,104,6.9,5.1,37.5,1.9,1.0,78,9.5,19.7,19.4,133,80,81,69,90,96,85,95,105,114,0,0,0,0,948
Pleasantville Public School District,NJ-014180,2023-24,32.0,42.0,42.5,43,24,22,33.5,49,53,27,35,20.7,<10%,24.7,NA,NA,NA,NA,NA,NA,NA,0.018755841121495326,12.1,<10%,14.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006449115044247788,0.00906687402799378,12:1,177:1,324,9.7,8.4,77.1,12.0,3.1,1045,30.5,19.1,78.0,463,277,259,279,233,260,271,253,307,288,253,280,237,242,3902
Port Republic School District,NJ-014240,2023-24,67.0,46.5,71.5,47,62,92,68,45.5,46,46,68,64.4,25.0,72.1,NA,NA,NA,NA,NA,NA,NA,0.09561643835616439,64.4,33.3,70.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09899999999999999,0.11549999999999999,9:1,55:1,12,12.5,12.1,80.0,8.3,0,5,4.4,14.5,1.8,0,14,11,12,10,11,14,12,13,13,0,0,0,0,110
Somers Point School District,NJ-014800,2023-24,45.0,52.0,59.5,31,42,26.5,78,41.5,28,69.5,60,26.8,<10%,30.4,NA,NA,NA,NA,NA,NA,NA,0.052284382284382286,23.0,12.3,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01569444444444444,0.019426934097421203,9:1,123:1,80,12.9,12.7,72.5,1.3,5.0,64,10.4,15.6,59.3,104,63,66,61,64,68,65,93,67,84,0,0,0,0,735
Ventnor City School District,NJ-015350,2023-24,54.5,59.0,37,36,45,83,63,61,57.5,75,42.5,60.7,18.5,71.3,NA,NA,NA,NA,NA,NA,NA,0.17667870036101085,50.7,<10%,61.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10581481481481482,0.12475982532751091,7:1,120:1,70,17.0,13.5,74.3,0,4.3,81,19.1,15.4,50.7,66,43,50,46,60,43,39,41,43,48,0,0,0,0,479
Weymouth Township School District,NJ-015760,2023-24,53.5,57.0,58.5,55.5,43,57,42,60.5,71.5,60,36,50.5,22.2,61.4,NA,NA,NA,NA,NA,NA,NA,0.06776699029126214,34.0,18.5,40.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0513265306122449,0.06367088607594937,11:1,36:1,17,9.4,6.8,52.9,0,0,43,27.6,19.4,41.7,29,21,10,18,16,15,19,13,15,24,0,0,0,0,180
Allendale Public School District,NJ-030040,2023-24,52.0,57.0,51,18,71,68.5,39.5,62,43,48,68.5,83.8,52.2,87.7,NA,NA,NA,NA,NA,NA,NA,0.3880491803278689,81.7,43.3,86.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28101141924959216,0.2902834008097166,12:1,180:1,75,13.1,13.1,74.7,4.0,4.0,32,3.6,11.5,2.2,20,89,88,85,93,107,81,112,103,120,0,0,0,0,898
Alpine Public School District,NJ-030080,2023-24,64.0,70.0,92,46.5,64,67,40,84.5,66,61,69,87.5,58.8,92.6,NA,NA,NA,NA,NA,NA,NA,0.4429203539823009,84.1,52.9,89.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3230476190476191,0.3318888888888889,8:1,33:1,21,14.0,10.2,85.7,19.0,0,9,5.3,11.5,0.0,0,10,22,18,20,13,21,23,22,16,0,0,0,0,165
Bergenfield Borough School District,NJ-030300,2023-24,50.0,54.0,55,45,45,42,62,60,56.5,53.5,43,63.0,24.6,70.6,NA,NA,NA,NA,NA,NA,NA,0.22744462452728256,46.9,18.3,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06490486257928119,0.09071954210956665,13:1,171:1,296,13.9,12.9,76.4,1.4,8.1,361,10.1,18.3,31.8,194,267,227,225,241,277,267,244,253,301,319,284,305,353,3757
Bogota Public School District,NJ-030440,2023-24,57.0,48.0,60,47,44,74,51,48,46,40,57,59.2,21.1,68.7,NA,NA,NA,NA,NA,NA,NA,0.21088098918083462,39.6,<10%,46.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06039334341906203,0.07328227571115974,12:1,104:1,110,10.8,9.5,67.3,1.8,17.7,145,11.5,18.5,55.6,112,85,109,117,92,105,76,88,104,98,102,93,81,93,1355
Carlstadt Public School District,NJ-030740,2023-24,50.0,59.0,43.5,36,74,37.5,52,43.5,52,76,49,57.7,<10%,67.8,NA,NA,NA,NA,NA,NA,NA,0.14174603174603173,47.6,14.8,54.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06861635220125786,0.07731517509727627,12:1,86:1,44,13.1,12.4,81.8,0,4.5,61,12.8,16.9,32.6,43,43,54,56,62,57,41,49,47,57,0,0,0,0,509
Cliffside Park School District,NJ-030890,2023-24,53.0,46.0,59,42,61,48.5,51,42,43,52,46,55.3,25.4,66.0,NA,NA,NA,NA,NA,NA,NA,0.17357246376811594,35.0,17.7,40.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05906340057636888,0.0876510067114094,13:1,143:1,250,10.2,10.2,72.8,0.8,10.4,410,13.6,22.9,53.2,122,191,197,203,172,183,196,194,184,195,383,324,280,296,3120
Closter Public School District,NJ-030930,2023-24,57.0,51.0,66,26,68,60.5,61,63,40,55,42.5,80.0,41.5,87.9,NA,NA,NA,NA,NA,NA,NA,0.39623786407767,69.6,26.8,78.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24481166464155527,0.25071641791044774,12:1,150:1,102,13.3,11.1,69.6,3.9,7.8,77,6.6,16.2,1.9,31,95,120,118,118,147,126,154,144,145,0,0,0,0,1198
Cresskill Public School District,NJ-030990,2023-24,49.0,46.0,69.5,47,34,49,42,68,44,32,31,71.1,25.8,80.9,NA,NA,NA,NA,NA,NA,NA,0.28958612975391496,63.3,28.9,70.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18137566137566138,0.24206060606060606,12:1,124:1,148,13.6,13.5,86.5,0,0,137,8.1,16.3,2.9,38,114,130,139,131,151,137,144,139,135,125,135,114,105,1737
Demarest School District,NJ-031070,2023-24,48.0,53.5,60,22,56.5,59,50,34,61,51.5,65,78.7,41.9,85.1,NA,NA,NA,NA,NA,NA,NA,0.3176056338028169,75.5,44.6,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.30398019801980203,0.2926303317535545,10:1,132:1,80,12.9,10.1,77.5,1.3,14.6,31,4.3,11.9,1.5,80,73,56,72,79,81,95,82,91,84,0,0,0,0,793
Dumont Public School District,NJ-031130,2023-24,46.0,53.0,49,55,34,33.5,58,64,56,40,48,65.4,24.2,72.9,NA,NA,NA,NA,NA,NA,NA,0.1963744427934621,54.3,24.3,59.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0829098966026588,0.1064593781344032,12:1,141:1,214,12.6,12.6,77.1,0,1.4,252,9.9,13.8,10.6,54,170,193,201,205,190,190,212,199,158,198,189,192,188,2539
East Rutherford School District,NJ-031230,2023-24,69.0,63.0,79,66.5,60,74.5,65,58.5,70,60,62,64.5,23.2,73.6,NA,NA,NA,NA,NA,NA,NA,0.2598047722342733,45.4,11.0,52.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11573560767590618,0.12815384615384617,9:1,127:1,82,11.8,11.2,75.6,1.2,11.0,82,11.5,17.2,48.0,46,81,77,77,92,75,77,71,85,82,0,0,0,0,763
Edgewater School District,NJ-031270,2023-24,68.0,58.0,68,66,69,NA,NA,55,65,58,NA,66.9,20.5,73.9,NA,NA,NA,NA,NA,NA,NA,0.20927113702623906,57.6,18.2,63.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16802702702702701,0.16802702702702701,10:1,118:1,70,11.2,8.2,47.1,0,25.7,68,10.7,15.4,15.0,54,89,81,101,90,113,71,95,0,0,0,0,0,0,696
Elmwood Park School District,NJ-031345,2023-24,45.5,34.0,33,49,53,42,49,36,45.5,29,29,48.6,21.4,55.5,NA,NA,NA,NA,NA,NA,NA,0.1184006092916984,24.8,<10%,28.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018531835205992508,0.02412951167728238,13:1,144:1,203,6.8,5.9,57.2,13.3,10.3,315,12.5,19.7,42.6,77,186,180,195,195,191,193,195,174,212,181,211,226,183,2599
Emerson Public School District,NJ-031360,2023-24,42.0,55.0,61,42.5,35,41,36.5,82,43.5,61,43,58.9,25.0,66.7,NA,NA,NA,NA,NA,NA,NA,0.12315884476534297,57.4,25.0,65.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07523381294964028,0.09031862745098039,11:1,96:1,95,12.1,10.4,78.7,3.2,5.3,64,6.2,16.0,7.6,59,79,84,80,72,80,88,71,98,69,76,68,65,71,1060
Englewood Public School District,NJ-031370,2023-24,55.0,46.0,43,43,44,64,69,50,37,55,42,42.9,13.9,50.8,NA,NA,NA,NA,NA,NA,NA,0.1214378554021121,20.3,<10%,23.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.014555722891566264,0.013729863692688972,11:1,144:1,264,10.8,10.5,64.4,6.1,3.0,552,20.8,16.9,69.5,281,162,179,181,160,174,156,154,184,189,272,279,271,236,2878
Englewood Cliffs School District,NJ-031380,2023-24,63.0,77.0,72,58,69,56,57,87,58,76,80,87.5,59.6,94.4,NA,NA,NA,NA,NA,NA,NA,0.6431954887218045,82.3,44.2,91.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.41687732342007433,0.41982532751091706,9:1,85:1,49,16.0,12.1,71.4,4.1,4.1,25,6.4,19.2,0.0,33,46,31,45,37,67,37,48,40,42,0,0,0,0,426
Fair Lawn Public School District,NJ-031450,2023-24,59.0,50.5,60,63.5,68,53,55,58,44.5,57,45,75.1,37.6,83.2,NA,NA,NA,NA,NA,NA,NA,0.3631101291638341,65.9,31.1,73.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15923751686909582,0.18752289156626506,11:1,186:1,488,12.9,11.2,75.6,0.4,11.8,388,7.1,20.1,14.0,103,360,398,426,400,425,443,448,438,464,405,412,419,412,5553
Fairview Public School District,NJ-031470,2023-24,42.0,53.0,36,37,42,45,50,42,51.5,64,55,17.7,<10%,20.4,NA,NA,NA,NA,NA,NA,NA,0.013086283185840708,15.9,<10%,17.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01024364406779661,0.007997448979591837,14:1,144:1,113,9.5,6.9,45.1,0,19.5,110,7.5,16.1,74.5,124,167,176,165,156,146,168,148,157,157,0,0,0,0,1564
Fort Lee School District,NJ-031550,2023-24,57.0,64.0,65,68,60,47,49,70,73,68,32.5,72.2,34.7,80.0,NA,NA,NA,NA,NA,NA,NA,0.31915237628613424,63.5,24.6,71.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19475852272727273,0.2407922769640479,12:1,204:1,333,11.9,11.1,77.5,1.5,6.6,451,11.3,16.8,18.0,100,297,308,322,342,333,318,293,291,304,272,321,285,289,4075
Franklin Lakes School District,NJ-031580,2023-24,52.0,48.0,46,53.5,59,70,36,41.5,44,60.5,45,71.5,31.3,79.9,NA,NA,NA,NA,NA,NA,NA,0.265851755526658,66.9,37.1,73.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16869281045751633,0.1825040650406504,8:1,111:1,145,11.8,11.8,69.7,0,0.7,92,8.0,19.7,2.3,51,108,122,136,144,129,132,123,121,134,0,0,0,0,1200
Garfield Public School District,NJ-031700,2023-24,56.0,43.0,66,63,31,49,66.5,63,47,22,43,51.2,22.8,60.2,NA,NA,NA,NA,NA,NA,NA,0.1409225621414914,32.6,17.0,37.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03244105409153953,0.04583278902677988,11:1,130:1,427,13.7,13.7,82.7,0.2,7.5,863,20.4,21.4,49.8,608,359,337,329,327,309,324,323,311,313,359,313,255,329,4796
Glen Rock Public School District,NJ-031760,2023-24,51.0,49.0,58,63.5,26,42,63,60,67,31,42,78.6,47.1,86.7,NA,NA,NA,NA,NA,NA,NA,0.29720110573600556,75.4,40.2,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21416551724137928,0.25711753731343284,11:1,129:1,225,13.8,9.9,58.7,0,0,99,3.8,18.6,0.6,13,165,188,203,217,224,216,216,215,184,184,206,172,174,2577
Hackensack School District,NJ-031860,2023-24,47.0,41.0,52,32,35,60,66,52,19.5,44,58,37.7,<10%,47.2,NA,NA,NA,NA,NA,NA,NA,0.08162675474814204,22.8,<10%,28.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.018431223948465327,0.023802172670097196,12:1,150:1,438,12.8,12.7,81.5,2.3,4.3,882,17.4,23.2,60.3,363,355,369,374,352,357,374,349,340,367,443,446,447,399,5335
Harrington Park School District,NJ-032050,2023-24,47.0,56.0,67.5,35,34,52,54,57,60,35.5,58,71.1,34.5,76.7,NA,NA,NA,NA,NA,NA,NA,0.25142857142857145,73.5,40.0,78.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21850241545893717,0.21852852852852853,11:1,125:1,56,14.9,12.6,80.4,0,7.1,39,6.2,10.8,0.0,16,55,64,76,65,63,73,69,66,80,0,0,0,0,627
Hasbrouck Heights School District,NJ-032080,2023-24,50.0,56.0,50,79,54,28.5,42,62,59.5,43,62,67.2,31.3,75.1,NA,NA,NA,NA,NA,NA,NA,0.24458705357142857,52.8,22.5,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07477924944812361,0.08358778625954198,12:1,139:1,140,15.7,13.6,80.0,0,7.1,97,5.8,19.5,17.5,27,103,111,116,120,136,143,135,133,130,119,132,123,140,1668
Haworth Public School District,NJ-032090,2023-24,51.0,57.0,48.5,48.5,67,77,35,44.5,43,59,78.5,84.2,50.9,91.7,NA,NA,NA,NA,NA,NA,NA,0.3684121621621622,77.5,48.2,84.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.20986348122866894,0.23502008032128516,9:1,114:1,48,12.3,9.5,58.3,2.1,0,19,4.2,17.0,0.0,8,49,50,50,67,45,46,57,35,47,0,0,0,0,454
Hillsdale School District,NJ-032180,2023-24,42.0,53.0,49,13,68,44,39,29,49,61,68,76.3,48.1,84.0,NA,NA,NA,NA,NA,NA,NA,0.2999019607843137,67.2,37.0,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.18211267605633805,0.18637123745819398,9:1,142:1,127,13.8,11.3,74.0,0,6.3,49,4.4,21.6,6.0,46,123,129,115,119,113,128,114,131,120,0,0,0,0,1138
Ho-Ho-Kus School District,NJ-032200,2023-24,58.0,70.0,71,31,88.5,55,39.5,60,57,87,73,79.5,47.9,87.0,NA,NA,NA,NA,NA,NA,NA,0.3941554959785523,84.1,54.2,91.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29789333333333334,0.29351097178683383,11:1,94:1,52,15.7,12.5,75.0,0,5.8,43,7.6,15.7,0.0,12,66,52,60,84,50,56,64,65,52,0,0,0,0,561
Leonia Public School District,NJ-032620,2023-24,58.0,53.0,36,45,74,72,51,47.5,62,54,47,69.8,26.4,76.8,NA,NA,NA,NA,NA,NA,NA,0.26284786641929503,59.2,14.2,66.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11358834244080146,0.15067264573991032,11:1,129:1,193,11.7,10.9,65.8,3.1,11.9,102,5.0,15.0,17.3,60,83,89,109,119,114,125,126,203,223,186,203,224,204,2068
Little Ferry Public School District,NJ-032710,2023-24,50.0,58.5,52,56,55,46.5,39,52.5,33,66,68,51.2,11.1,59.6,NA,NA,NA,NA,NA,NA,NA,0.1105378486055777,39.1,<10%,45.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04776699029126214,0.058432304038004756,11:1,111:1,83,12.0,11.7,68.7,0,14.5,144,19.1,16.1,34.3,110,88,80,89,83,92,78,103,67,95,0,0,0,0,887
Lodi School District,NJ-032740,2023-24,59.0,49.0,55,59,64,64,54,50,55,47,47,71.9,37.7,78.0,NA,NA,NA,NA,NA,NA,NA,0.29574213836477986,41.2,19.3,45.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0597459165154265,0.0761491760624458,13:1,111:1,245,11.7,11.7,68.6,0.4,16.7,305,9.9,11.5,54.3,131,196,212,242,222,220,233,229,226,266,213,212,228,261,3091
Lyndhurst Public School District,NJ-032860,2023-24,58.0,53.0,66,58,51,49.5,67,53,47,69,44,58.8,24.3,67.5,NA,NA,NA,NA,NA,NA,NA,0.1533639143730887,36.5,14.3,42.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.03401045556385362,0.04611790878754171,13:1,146:1,204,6.1,4.9,38.8,1.0,3.9,308,11.9,18.8,31.4,66,187,197,187,161,185,196,186,199,237,198,220,204,204,2627
Mahwah Township Public School District,NJ-032900,2023-24,48.0,44.0,43,61,56,35,53,46,48,35,47,72.3,36.6,80.1,NA,NA,NA,NA,NA,NA,NA,0.24855776306107433,60.5,30.7,66.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12655172413793103,0.14929969104016477,10:1,96:1,270,14.5,12.1,74.1,0,12.0,167,6.3,19.0,11.0,100,182,195,209,185,205,200,197,237,201,202,234,203,233,2783
Maywood School District,NJ-033060,2023-24,57.0,64.0,68,55,55,58,46,39,72,62.5,80,69.3,23.1,79.1,NA,NA,NA,NA,NA,NA,NA,0.2774471544715447,63.1,21.3,71.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.15076555023923446,0.15226053639846743,12:1,198:1,80,11.6,10.9,72.5,2.5,16.3,57,6.0,20.2,15.8,38,114,96,105,112,104,95,88,127,107,0,0,0,0,990
Midland Park School District,NJ-033170,2023-24,59.5,49.0,55,65.5,77,43,51,30,40,80.5,41,79.4,46.8,89.1,NA,NA,NA,NA,NA,NA,NA,0.35833688699360344,55.3,31.8,62.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06797441364605544,0.08645348837209303,8:1,111:1,108,13.3,11.0,72.0,4.6,13.6,31,3.5,20.2,7.1,26,64,74,81,71,65,85,66,69,71,53,66,48,46,885
Montvale Board of Education School District,NJ-033330,2023-24,71.5,54.0,36,81,81.5,75,65,45,24,65,77,76.9,39.4,83.9,NA,NA,NA,NA,NA,NA,NA,0.3325158227848101,64.8,32.7,70.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14912087912087912,0.16221797323135756,11:1,124:1,93,15.0,11.6,68.8,1.1,10.5,79,8.1,16.3,4.6,28,109,107,103,98,93,116,119,109,111,0,0,0,0,993
Moonachie School District,NJ-033350,2023-24,61.0,51.5,62,54.5,74.5,56,52,52,44,59.5,44,74.5,33.3,82.8,NA,NA,NA,NA,NA,NA,NA,0.26643518518518516,55.3,27.8,60.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0695,0.07963541666666667,10:1,122:1,37,10.2,8.3,75.0,0,7.9,41,12.5,13.6,55.6,45,32,34,37,30,40,35,48,37,29,0,0,0,0,367
New Milford Public School District,NJ-033550,2023-24,50.5,44.0,55,46,54.5,56,44,57,42,37,39,70.8,23.4,81.5,NA,NA,NA,NA,NA,NA,NA,0.297647619047619,55.2,19.3,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.08237240075614367,0.09922279792746115,12:1,144:1,168,13.3,11.0,69.6,1.2,5.4,162,8.3,19.0,16.1,70,155,134,151,151,152,170,143,158,159,148,134,155,141,2021
North Arlington School District,NJ-033600,2023-24,45.0,52.5,43,65,39,38,42,42,67.5,49,47,60.4,24.3,67.9,NA,NA,NA,NA,NA,NA,NA,0.1705725567620928,39.4,18.5,43.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05020250723240116,0.0692231638418079,13:1,131:1,161,10.7,9.6,61.5,0.6,11.8,186,9.5,17.0,30.1,156,137,139,150,152,134,145,131,152,175,160,141,159,163,2094
