DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,ST_LEAID,SchoolYear,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
Galloway Township Public Schools,175,301,307,360,321,376,358,378,380,370,0,0,0,0,3326,NJ-011690,2018-2019,20.0,50.9,45.2,15.2,52.9,NA,43.8,14.5,51.3,0.05131431244153414,0.06170416197975253,11:1,185:1,304,15.2,13.9,81.6,264,8.4,5,36,33,15,12
Greater Egg Harbor Regional High School District,0,0,0,0,0,0,0,0,0,0,825,733,722,774,3054,NJ-011790,2018-2019,18.2,45.4,48.3,*,*,0.11849695328368315,29.6,*,*,0,NA,11:1,102:1,267,14.0,13.0,88.8,584,18.7,3,22,29,22,25
Hamilton Township School District,326,293,264,297,289,321,318,327,312,348,0,0,0,0,3095,NJ-011940,2018-2019,17.5,53.9,46.9,14.4,54.2,NA,30.2,13.0,34.1,NA,0.020725964682799216,12:1,221:1,261,12.3,12.3,78.5,416,14.9,4,25,31,21,19
Hammonton School District,153,152,173,189,177,206,199,213,338,339,353,361,339,334,3526,NJ-011960,2018-2019,14.7,44.9,56.9,15.2,65.1,NA,41.2,*,*,0.03414804469273743,0.05151461470327724,14:1,186:1,253,12.5,11.6,83.0,426,12.4,5,28,31,19,18
Linwood City School District,39,73,80,87,73,85,91,104,95,95,0,0,0,0,822,NJ-012680,2018-2019,20.1,10.9,80.8,43.3,88.8,0.35095145631067964,68.6,38.9,74.9,0.12299610894941634,0.1484037558685446,11:1,117:1,73,14.3,11.5,79.5,28,3.6,3,36,39,16,6
Mainland Regional High School,0,0,0,0,0,0,0,0,0,0,319,314,296,315,1244,NJ-012910,2018-2019,18.0,25.0,68.8,24.7,77.3,0.2703305785123967,43.9,*,*,0,NA,11:1,138:1,112,16.6,14.4,93.8,171,13.6,4,29,30,19,19
Margate City School District,8,20,40,30,34,44,53,48,39,41,0,0,0,0,357,NJ-013020,2018-2019,18.8,8.4,86.1,50.0,94.1,NA,76.1,30.4,86.3,NA,0.11114285714285714,7:1,71:1,49,16.1,14.7,83.7,24,6.9,4,34,37,15,10
Mullica Township School District,59,42,46,73,70,76,78,88,85,69,0,0,0,0,686,NJ-013480,2018-2019,19.0,44.2,58.4,25.6,65.3,NA,39.1,*,*,0,0,12:1,172:1,55,12.6,9.8,75.9,54,8.6,1,25,40,21,13
Northfield City School District,65,88,92,99,105,111,96,106,103,106,0,0,0,0,971,NJ-013720,2018-2019,20.5,23.0,53.4,17.4,62.0,NA,52.7,17.5,61.0,NA,0.07495983935742971,11:1,194:1,88,8.5,8.0,56.0,77,8.5,2,33,34,19,12
Pleasantville Public School District,473,278,284,291,260,292,257,246,285,237,231,189,167,186,3676,NJ-014180,2018-2019,15.5,86.1,27.1,*,*,NA,*,*,*,0.006666666666666667,0.009931245225362872,12:1,136:1,314,11.3,9.7,83.6,682,21.2,4,29,27,16,23
Port Republic School District,0,14,12,10,14,15,14,10,6,7,0,0,0,0,102,NJ-014240,2018-2019,11.8,4.9,76.6,*,*,NA,62.5,*,*,NA,0,6:1,102:1,17,7.4,6.9,47.1,12,11.5,8,34,27,15,16
Somers Point School District,73,80,106,90,105,84,83,83,84,97,0,0,0,0,885,NJ-014800,2018-2019,21.7,65.6,40.2,13.0,47.4,NA,30.2,*,*,0,0,9:1,126:1,99,10.1,10.3,76.6,74,8.9,8,38,27,15,13
Ventnor City School District,73,61,61,63,62,72,66,91,55,65,0,0,0,0,669,NJ-015350,2018-2019,15.2,59.5,57.0,25.0,63.1,NA,46.8,*,*,0,0,9:1,112:1,72,19.3,16.7,93.1,99,16.4,4,28,28,19,21
Weymouth Township School District,18,20,11,13,21,13,19,16,19,16,0,0,0,0,166,NJ-015760,2018-2019,27.7,50.6,56.0,30.8,64.9,NA,53.0,30.8,60.8,NA,0,10:1,42:1,17,15.0,9.2,64.7,9,6.1,5,34,31,20,10
Allendale Public School District,24,62,89,90,107,99,85,99,111,122,0,0,0,0,888,NJ-030040,2018-2019,11.6,0.7,90.1,60.6,94.0,0.48309446254071664,86.2,57.7,89.9,0.28988599348534205,0.27453629032258065,12:1,148:1,72,12.3,12.3,76.4,31,3.6,5,45,34,11,5
Alpine School District,0,12,16,24,18,12,18,18,17,13,0,0,0,0,148,NJ-030080,2018-2019,15.5,0,93.2,71.4,97.3,NA,79.3,30.8,87.8,0,0,6:1,49:1,23,13.0,8.7,78.3,8,5.6,2,23,36,24,14
Bergen County Special Services School District,43,27,33,26,29,43,56,43,35,38,54,61,65,150,703,NJ-030285,2018-2019,99.9,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,3:1,47:1,218,15.4,13.4,79.8,NA,NA,NA,NA,NA,NA,NA
Bergen County Vocational Technical School District,0,0,0,0,0,0,0,0,0,0,596,595,568,564,2323,NJ-030290,2018-2019,17.2,12.8,97.5,85.7,97.9,0.778659793814433,90.4,68.0,91.5,0,NA,10:1,106:1,236,13.0,11.1,75.8,65,2.9,8,41,31,13,6
Bergenfield Borough School District,107,248,213,222,272,275,255,273,290,268,320,280,282,283,3588,NJ-030300,2018-2019,15.9,37.0,68.1,23.6,75.6,0.24455915943353132,48.9,*,*,0.05124826629680999,0.08513824884792626,13:1,189:1,285,12.7,11.6,79.3,398,11.3,3,32,30,18,17
Bogota Public School District,67,67,70,77,96,88,74,75,79,82,98,82,78,97,1130,NJ-030440,2018-2019,18.7,46.6,69.6,17.4,80.5,NA,49.0,*,*,0.047743362831858406,0.0791442542787286,12:1,113:1,98,11.0,10.6,77.6,63,5.8,5,38,30,17,10
Carlstadt PublicSchool District,52,43,49,51,54,56,65,56,60,67,0,0,0,0,553,NJ-030740,2018-2019,16.3,28.2,64.7,29.5,72.8,NA,35.3,13.1,40.3,0,0,12:1,111:1,46,12.1,11.2,71.7,41,8.0,3,33,34,19,12
Carlstadt-East Rutherford Regional High School District,0,0,0,0,0,0,0,0,0,0,123,131,128,111,493,NJ-030745,2018-2019,13.8,32.8,48.8,14.3,55.8,NA,14.1,*,*,0,NA,12:1,70:1,40,15.3,13.3,85.0,50,9.7,3,27,35,22,13
Cliffside Park School District,135,208,211,214,198,231,200,173,202,210,319,317,273,262,3153,NJ-030890,2018-2019,18.0,55.0,59.0,*,*,NA,44.5,*,*,0.07696864111498257,0.13360887096774193,13:1,185:1,249,9.3,9.4,71.7,308,10.0,6,37,29,15,13
Closter Public School District,53,109,139,125,136,143,130,132,130,123,0,0,0,0,1220,NJ-030930,2018-2019,15.2,0.9,87.8,47.1,94.4,0.5096026490066226,80.6,35.9,87.6,0.29053664921465966,0.3414923076923077,13:1,174:1,95,14.5,12.3,73.7,67,5.7,6,38,32,15,9
Cresskill Public School District,25,112,122,128,128,170,164,150,137,141,135,135,127,139,1813,NJ-030990,2018-2019,14.5,0.7,80.9,38.9,87.9,0.37237318840579714,70.7,31.4,77.4,0.1260384263494968,0.20169838945827231,12:1,129:1,147,10.8,10.4,82.3,61,3.4,9,44,30,12,6
Demarest School District,42,68,57,67,67,83,76,81,81,72,0,0,0,0,694,NJ-031070,2018-2019,16.6,0.3,85.3,51.3,92.7,NA,78.8,42.5,86.6,NA,0.2812401055408971,10:1,116:1,71,11.4,9.5,69.0,36,5.4,5,39,33,13,10
Dumont Public School District,49,158,190,173,138,192,209,191,195,205,199,211,197,195,2502,NJ-031130,2018-2019,14.3,8.8,75.1,37.9,82.0,0.2654634464751958,55.3,*,*,0.051704619388419,0.05557483731019524,12:1,139:1,214,12.2,12.2,86.4,213,8.5,5,37,31,15,12
East Rutherford School District,37,99,95,82,66,71,79,91,77,96,0,0,0,0,793,NJ-031230,2018-2019,16.1,31.8,63.3,12.5,74.1,NA,50.8,13.8,58.7,0.04980392156862745,0.06195121951219512,11:1,159:1,74,12.0,11.2,78.4,48,6.2,7,31,34,18,10
Edgewater School District,81,162,185,114,119,106,114,93,0,0,0,0,0,0,974,NJ-031270,2018-2019,11.8,9.4,59.3,16.7,65.7,0.16082938388625592,52.1,16.7,57.3,0.05189814814814815,0.05189814814814815,14:1,162:1,72,9.8,7.7,65.3,91,10.0,4,32,31,18,15
Elmwood Park School District,62,174,194,168,210,177,212,255,190,190,199,168,173,167,2539,NJ-031345,2018-2019,17.1,41.5,55.9,*,*,NA,35.6,12.9,40.2,0.02522769806612601,0.03862464183381088,13:1,195:1,189,8.0,7.0,54.5,179,7.0,9,35,30,16,10
Emerson Public School District,65,82,70,88,73,92,78,76,96,78,76,74,89,79,1116,NJ-031360,2018-2019,15.0,8.0,66.9,29.4,74.9,NA,52.5,26.6,57.9,0.02067415730337079,0.031724137931034485,11:1,101:1,100,10.5,8.5,73.0,66,6.1,3,32,37,17,11
Englewood Public School District,242,181,181,195,203,193,196,197,183,192,245,270,258,270,3006,NJ-031370,2018-2019,14.9,66.3,44.7,*,*,NA,20.3,*,*,0.007407862407862407,0.012615062761506275,12:1,137:1,251,11.7,11.0,85.7,322,11.4,5,35,31,14,15
Englewood Cliffs School District,29,29,53,52,48,58,60,49,67,49,0,0,0,0,494,NJ-031380,2018-2019,13.0,0,93.5,74.5,96.7,NA,80.8,44.7,87.0,0.3013455657492355,0.3082857142857143,9:1,82:1,55,11.1,9.8,65.5,12,2.6,10,40,35,11,4
Fair Lawn Public School District,71,387,394,389,413,376,406,400,390,408,379,379,381,363,5136,NJ-031450,2018-2019,21.3,10.7,77.3,43.9,86.1,0.3687508090614887,68.4,34.6,77.2,0.14600458115183243,0.21128353498158864,12:1,190:1,423,12.8,11.1,76.4,210,4.1,6,40,34,14,6
Fairview Public School District,102,184,185,163,156,161,120,149,148,122,0,0,0,0,1490,NJ-031470,2018-2019,17.4,69.9,34.0,*,*,NA,26.7,*,*,0,0,16:1,166:1,93,11.7,9.7,59.8,167,11.9,3,34,30,17,16
Fort Lee School District,65,348,342,339,367,312,341,318,292,297,311,235,230,247,4044,NJ-031550,2018-2019,13.7,16.0,74.6,28.8,81.8,0.33513355592654426,60.8,*,*,0.16927898402294142,0.2065209244222361,13:1,202:1,304,11.1,10.1,77.0,304,7.6,7,40,26,15,12
Franklin Lakes School District,68,103,108,102,106,125,116,137,131,149,0,0,0,0,1146,NJ-031580,2018-2019,21.1,1.5,77.9,45.8,85.6,0.32663487738419617,70.0,38.0,77.6,0.1280163043478261,0.16558875219683655,8:1,115:1,140,11.1,11.1,80.0,40,3.7,3,38,40,14,6
Garfield Public School District,705,408,372,328,340,348,355,356,360,319,288,269,252,249,4949,NJ-031700,2018-2019,17.4,61.1,52.0,*,*,0.1179622944243883,37.8,14.8,43.8,0.0438166144200627,0.0655451348182884,11:1,141:1,443,11.4,11.4,79.2,444,10.4,4,36,30,17,13
Glen Rock Public School District,20,172,193,206,191,211,214,195,195,186,171,209,165,183,2511,NJ-031760,2018-2019,19.5,0.6,85.3,56.3,93.1,0.38221216041397155,71.7,39.8,80.2,0.1435890767230169,0.22352226720647775,11:1,167:1,230,12.2,10.0,65.7,105,4.2,4,40,34,15,7
Hackensack School District,365,387,361,358,408,438,389,395,371,349,531,473,461,460,5746,NJ-031860,2018-2019,20.7,56.9,49.0,13.7,58.9,0.12544030084612975,29.7,*,*,0.02405859117840685,0.037714138286893704,13:1,169:1,426,11.4,11.4,77.9,682,12.4,5,38,27,14,15
Harrington Park School District,15,53,67,57,83,62,71,54,75,68,0,0,0,0,605,NJ-032050,2018-2019,16.2,0,80.5,41.7,89.0,NA,77.1,38.0,85.5,0.18133501259445842,0.17114114114114115,11:1,151:1,54,13.5,11.7,87.0,19,3.1,7,41,33,13,5
Hasbrouck Heights School District,18,125,104,108,122,131,143,151,166,161,135,135,138,141,1778,NJ-032080,2018-2019,17.4,15.0,67.4,28.6,75.6,0.22328924162257496,59.4,22.4,66.3,0.08213381555153708,0.12812411847672778,12:1,162:1,143,14.6,12.3,79.0,77,4.3,8,40,32,13,6
Haworth Public School District,0,34,50,30,42,56,49,51,44,47,0,0,0,0,403,NJ-032090,2018-2019,14.1,0,88.7,55.8,94.6,NA,73.8,34.9,80.7,0.11829787234042553,0.14075949367088608,9:1,101:1,43,10.4,9.1,51.2,19,4.7,5,34,35,20,6
Hillsdale School District,36,111,104,121,114,123,126,125,132,148,0,0,0,0,1140,NJ-032180,2018-2019,23.3,7.7,79.0,47.9,88.3,0.3364591977869986,64.8,31.1,74.8,NA,0.15130730050933786,9:1,143:1,122,12.3,10.1,76.2,49,4.4,5,42,32,13,8
Ho-Ho-Kus School District,10,61,68,60,50,62,77,74,66,66,0,0,0,0,594,NJ-032200,2018-2019,17.7,0,87.2,67.9,91.8,NA,83.1,64.1,87.8,NA,0.17788519637462236,13:1,99:1,47,14.8,13.0,83.0,28,4.8,3,39,38,13,7
Leonia Public School District,29,103,120,105,111,113,103,117,207,210,217,181,167,183,1966,NJ-032620,2018-2019,15.4,15.2,71.7,29.3,79.3,NA,61.7,25.3,68.4,0.1211017661900757,0.160064,11:1,116:1,174,12.1,11.5,74.7,149,7.7,6,33,30,18,13
Little Ferry Public School District,39,80,97,76,90,92,103,95,105,101,0,0,0,0,878,NJ-032710,2018-2019,11.9,36.7,61.8,*,*,NA,40.8,*,*,0,0,11:1,147:1,79,13.8,13.3,75.9,124,14.5,3,27,32,20,18
Lodi School District,123,216,220,191,223,225,235,240,253,236,229,215,209,206,3021,NJ-032740,2018-2019,10.3,53.3,73.4,33.2,80.8,0.26406118143459917,50.2,17.3,56.2,0.06371443624868282,0.09192179700499167,13:1,116:1,232,11.7,11.7,76.6,269,8.9,4,29,31,22,14
Lyndhurst School District,121,177,162,169,204,166,194,176,198,206,178,183,189,202,2525,NJ-032860,2018-2019,16.6,22.6,68.5,31.8,75.6,0.20758528428093648,43.3,14.8,48.4,0.016319677635997315,0.02585106382978724,13:1,133:1,199,7.2,6.6,49.5,322,13.2,2,29,30,20,19
Mahwah Township Public School District,44,173,177,215,196,200,230,231,241,206,246,231,238,200,2828,NJ-032900,2018-2019,16.2,9.4,80.2,36.5,88.4,0.3634299231224128,68.8,30.5,76.1,0.14563905325443788,0.1965009746588694,10:1,105:1,274,13.9,11.5,75.9,160,5.6,5,38,33,15,9
Maywood School District,30,115,89,119,100,93,125,119,96,111,0,0,0,0,997,NJ-033060,2018-2019,15.9,10.1,79.3,33.7,87.6,0.330671875,68.4,19.4,77.3,0.15699376947040497,0.16875706214689265,12:1,199:1,83,11.0,9.4,75.6,44,4.5,5,41,32,14,8
Midland Park School District,36,80,73,66,71,61,77,58,53,64,67,70,67,77,920,NJ-033170,2018-2019,16.2,5.3,77.7,46.2,84.6,NA,54.3,30.7,59.2,0.02337917485265226,0.03789808917197452,9:1,102:1,105,13.0,11.1,70.5,30,3.3,5,36,37,15,7
Montvale Board of Education School District,23,98,99,95,98,111,112,108,114,117,0,0,0,0,975,NJ-033330,2018-2019,14.2,2.4,82.4,45.9,88.8,0.3419478527607362,66.9,25.5,74.1,0.14097072419106318,0.17037243947858474,11:1,122:1,90,12.9,10.3,72.2,60,6.3,10,52,25,9,4
Moonachie School District,30,23,40,35,26,30,30,40,32,39,0,0,0,0,325,NJ-033350,2018-2019,15.7,56.9,76.2,24.2,87.5,NA,53.5,*,*,0,0,10:1,108:1,32,9.0,8.6,68.8,15,5.0,10,43,31,9,7
New Milford Public School District,46,166,149,135,154,162,150,152,160,160,173,115,156,160,2038,NJ-033550,2018-2019,21.2,14.8,75.4,36.6,86.0,0.3272972972972973,52.9,20.9,61.4,0.07263689974726201,0.1148069241011984,13:1,146:1,160,11.8,10.0,78.8,74,3.7,6,55,24,10,5
North Arlington School District,25,144,124,148,150,162,146,150,148,125,132,150,118,125,1847,NJ-033600,2018-2019,15.2,22.6,61.8,*,*,0.17691498685363719,40.6,*,*,0.012378892733564012,0.01908,13:1,123:1,137,12.6,10.5,70.1,77,4.2,5,36,33,19,7
Northern Highlands Regional High School District,0,0,0,0,0,0,0,0,0,0,352,365,345,322,1384,NJ-033700,2018-2019,12.8,0.9,83.9,47.9,89.5,0.4246518105849582,70.2,32.0,75.0,0.13360239162929746,NA,12:1,92:1,113,11.9,11.8,85.8,83,5.8,6,34,31,19,11
Northern Valley Regional High School District,46,10,19,18,6,11,18,16,15,14,531,551,581,577,2413,NJ-033710,2018-2019,23.9,1.2,87.0,55.6,93.2,NA,72.6,37.8,79.3,NA,NA,10:1,89:1,245,14.9,12.8,84.4,98,4.4,8,42,31,11,7
Northvale Public School District,0,51,54,56,54,60,60,63,60,53,0,0,0,0,511,NJ-033730,2018-2019,13.3,0.2,82.5,50.9,88.3,NA,60.4,23.6,67.1,0.06702857142857144,0.078989898989899,11:1,128:1,48,13.9,10.5,77.1,21,4.0,9,41,30,14,7
Norwood Public School District,0,63,60,55,64,77,68,78,64,74,0,0,0,0,604,NJ-033740,2018-2019,13.6,0,71.4,36.7,77.2,NA,65.0,28.8,70.9,0.11712918660287082,0.14150289017341042,12:1,121:1,49,10.8,10.4,68.1,28,4.6,10,46,28,9,8
Oakland Public School District,29,148,130,141,146,134,143,136,170,166,0,0,0,0,1343,NJ-033760,2018-2019,22.0,6.3,76.3,37.9,85.9,0.2952729384436702,59.6,25.6,68.0,0.06512309495896834,0.0630246020260492,10:1,96:1,133,9.8,8.0,62.4,54,4.0,2,38,37,16,6
Old Tappan Public School District,0,61,74,65,67,93,73,70,78,76,0,0,0,0,657,NJ-033850,2018-2019,9.6,0,84.8,38.6,89.8,NA,68.0,25.0,72.6,0.16011135857461026,0.15238605898123322,11:1,94:1,62,16.6,14.3,79.0,30,4.5,5,37,36,14,9
Oradell Public School District,13,111,89,107,101,102,113,118,0,0,0,0,0,0,754,NJ-033870,2018-2019,15.9,0.1,85.8,55.3,92.5,0.35338061465721043,73.4,38.2,81.1,0.21369411764705884,0.21369411764705884,12:1,108:1,64,13.4,13.2,81.3,25,3.3,7,42,32,13,6
Palisades Park School District,71,95,139,135,130,142,155,124,114,113,169,111,119,91,1708,NJ-033910,2018-2019,11.2,53.3,50.3,14.5,55.6,NA,32.2,*,*,0.022374245472837024,0.015902883156297423,N,N,N,N,N,N,250,14.8,8,35,26,13,18
Paramus Public School District,132,243,234,241,293,264,295,286,281,312,320,282,286,309,3778,NJ-033930,2018-2019,19.9,6.4,67.2,31.9,76.3,0.24501575866726696,60.6,27.5,69.0,0.11438313144908031,0.12635431918008785,11:1,145:1,333,13.2,12.0,81.1,245,6.6,5,40,30,14,10
Park Ridge School District,40,96,76,94,75,94,98,95,95,90,97,95,83,88,1216,NJ-033940,2018-2019,19.7,4.8,81.4,46.2,90.2,NA,66.4,28.0,76.0,0.17324894514767933,0.22459396751740138,10:1,76:1,122,14.0,12.0,77.0,55,4.6,5,39,34,15,7
Pascack Valley Regional High School District,0,0,0,0,0,1,2,2,0,5,511,504,472,539,2037,NJ-033960,2018-2019,17.8,2.3,78.6,37.3,87.8,NA,65.7,20.4,76.1,NA,NA,12:1,97:1,173,14.0,11.2,82.7,106,5.2,6,41,30,15,8
Ramapo Indian Hills Regional High School District,0,0,0,0,0,0,0,0,0,0,577,588,532,574,2271,NJ-034300,2018-2019,15.7,1.6,82.7,43.1,90.1,0.4553899480069324,60.7,22.9,67.4,0.018965517241379314,NA,10:1,81:1,219,8.1,8.1,70.8,143,6.2,6,40,33,13,8
Ramsey School District,58,160,200,184,167,203,185,238,217,252,234,208,200,226,2732,NJ-034310,2018-2019,12.9,6.7,80.3,*,*,0.3341120381406436,63.9,*,*,0.11806777645659929,0.164659793814433,11:1,137:1,256,14.3,12.6,84.0,95,3.5,4,40,37,14,6
Ridgefield School District,69,120,117,92,118,119,138,136,144,103,111,128,101,196,1692,NJ-034370,2018-2019,26.3,29.7,*,*,73.2,NA,*,15.6,*,0.04441834451901566,0.06730508474576272,10:1,106:1,162,14.9,12.8,82.6,109,7.5,8,39,25,16,12
Ridgefield Park Public School District,39,125,140,135,143,159,155,168,161,159,220,194,225,235,2258,NJ-034380,2018-2019,15.3,36.9,54.1,*,*,NA,36.4,*,*,0.01128165771297007,0.0196524064171123,13:1,133:1,180,12.9,11.8,84.4,240,10.7,5,36,26,20,14
Ridgewood Public School District,75,372,403,391,418,449,429,466,454,470,466,435,429,435,5692,NJ-034390,2018-2019,14.3,1.9,84.1,47.6,90.8,0.39297499281402704,74.5,36.5,81.4,0.19513176947581812,0.25716037735849057,14:1,184:1,417,13.5,12.2,83.0,212,3.7,6,44,33,12,6
River Dell Regional School District,0,0,0,0,0,0,0,0,251,294,254,266,263,263,1591,NJ-034405,2018-2019,14.8,0.4,81.3,37.9,89.3,0.38989443378119,70.0,23.6,78.4,0.17669565217391303,0.26,12:1,133:1,137,13.6,10.9,79.6,100,6.2,6,42,29,15,9
River Edge School District,45,159,163,172,168,204,155,178,0,0,0,0,0,0,1245,NJ-034410,2018-2019,15.1,0.4,83.0,46.7,88.5,0.3448396501457726,78.4,50.0,82.8,0.2202037845705968,0.2202037845705968,12:1,138:1,100,9.8,7.1,67.0,30,2.5,6,45,31,14,4
River Vale Public School District,15,92,111,124,101,121,136,148,121,140,0,0,0,0,1109,NJ-034430,2018-2019,13.6,0.2,76.9,36.0,84.1,0.2846551724137931,64.4,22.8,71.8,0.15473404255319148,0.14104404567699835,11:1,139:1,100,14.8,11.0,74.0,28,2.5,7,44,31,12,5
Rochelle Park School District,20,53,43,53,53,51,58,53,64,51,0,0,0,0,499,NJ-034470,2018-2019,22.6,18.2,63.8,23.8,74.2,NA,44.3,19.0,50.8,0,0,11:1,83:1,46,14.2,12.3,71.7,29,6.0,6,36,34,15,9
Rutherford School District,73,174,189,208,186,182,198,214,211,210,180,179,183,216,2603,NJ-034600,2018-2019,13.0,5.8,71.7,18.7,79.7,NA,56.0,20.7,61.2,0.06521739130434782,0.10255102040816326,12:1,145:1,212,11.6,10.4,76.4,114,4.4,3,29,34,22,12
Saddle Brook School District,67,134,122,127,123,132,128,152,141,131,129,139,128,121,1774,NJ-034610,2018-2019,25.6,18.1,59.8,26.6,72.5,NA,42.6,*,*,0.009046728971962617,0.01455639097744361,12:1,148:1,152,10.2,10.2,75.0,202,11.5,5,28,32,19,15
Saddle River School District,15,18,23,17,35,21,26,0,0,0,0,0,0,0,155,NJ-034620,2018-2019,15.5,0.6,86.6,56.3,93.9,NA,81.7,62.5,86.4,0.12530864197530864,0.12530864197530864,7:1,39:1,21,17.0,13.8,85.7,10,7.1,4,26,39,21,11
South  Bergen Jointure Commission School District,139,24,28,24,18,19,26,19,18,8,5,7,10,33,378,NJ-034845,2018-2019,99.2,9.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,6:1,38:1,61,12.3,11.5,90.2,NA,NA,NA,NA,NA,NA,NA
South Hackensack School District,24,23,27,33,30,29,43,32,23,29,0,0,0,0,293,NJ-034870,2018-2019,13.7,35.5,75.3,26.7,85.7,NA,52.3,10.0,61.1,0,0,11:1,73:1,26,12.1,11.5,76.9,32,11.6,2,29,31,24,14
Teaneck School District,178,209,222,228,253,252,244,278,274,284,294,299,279,314,3608,NJ-035150,2018-2019,24.9,37.5,58.1,27.1,69.3,0.16620185275475377,42.6,*,*,0.04370944309927361,0.0528995057660626,10:1,124:1,353,12.4,10.7,71.0,315,8.9,8,35,29,15,13
Tenafly Public School District,16,219,241,258,275,284,273,310,295,308,312,314,309,285,3699,NJ-035160,2018-2019,16.2,1.6,84.0,52.5,90.6,0.42135439203807873,79.2,44.4,86.5,0.2340976460331299,0.2726154992548435,12:1,161:1,307,13.7,10.8,74.5,146,3.9,8,42,30,14,6
Upper Saddle River School District,30,94,120,103,114,130,137,138,126,147,0,0,0,0,1139,NJ-035330,2018-2019,20.4,0.4,85.3,52.6,93.4,0.4112692307692308,83.4,55.4,90.4,0.30904458598726114,0.2793730407523511,10:1,114:1,110,11.5,9.3,70.0,29,2.6,4,39,33,17,7
