DistrictName,GradePK,GradeKG,Grade01,Grade02,Grade03,Grade04,Grade05,Grade06,Grade07,Grade08,Grade09,Grade10,Grade11,Grade12,TotalEnrollment,ST_LEAID,SchoolYear,Students with Disabilities,Economically Disadvantaged Students,ELA_ME_District,ELA_ME_District_dis,ELA_ME_District_notdis,ELA_pct_level5,MATH_ME_District,MATH_ME_District_dis,MATH_ME_District_notdis,MATH_pct_level5,MATH_pct_level5_nogr8,Student_Teacher_District,Student_Admin_District,TeacherCount_District,TeacherAvgYearsExp_District,TeacherAvgYearsExpInDistrict_District,TeacherInDistrict4YearsOrMore_District,Chronic_Abs_Count,Chronic_Abs_Pct,Abs_0,Abs_1-5,Abs_6-10,Abs_11-15,Abs_over15
Absecon Public Schools District,55,84,98,85,82,86,106,96,95,80,0,0,0,0,867,NJ-010010,2018-2019,15.0,46.8,50.3,*,*,NA,43.7,*,*,0.024868913857677904,0.028932461873638345,12:1,173:1,74,12.7,11.6,76.7,56,6.9,5,39,31,15,9
Atlantic City School District,492,501,555,489,501,492,523,492,512,455,455,509,369,446,6791,NJ-010110,2018-2019,14.6,91.5,32.7,*,*,0.0675836627140975,*,*,*,0.02459430979978925,0.031748502994011975,10:1,219:1,647,13.1,12.8,83.3,1496,23.4,4,26,26,17,27
Atlantic County Vocational School District,0,0,0,0,0,0,0,0,0,0,433,424,403,364,1624,NJ-010120,2018-2019,10.3,61.4,53.4,15.7,58.7,0.12407451923076922,24.9,*,*,0,NA,11:1,162:1,144,7.3,7.0,69.4,196,12.5,4,30,30,20,16
Atlantic County Special Services School District,34,10,12,16,22,15,25,18,22,21,27,17,13,86,338,NJ-010125,2018-2019,96.7,37.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7:1,42:1,50,14.9,13.6,82.0,NA,NA,NA,NA,NA,NA,NA
Brigantine Public School District,64,52,46,50,45,50,66,47,58,73,0,0,0,0,551,NJ-010570,2018-2019,16.0,46.3,46.7,17.8,51.5,NA,40.7,*,*,0,0,8:1,92:1,68,18.1,17.1,83.8,48,9.8,2,27,31,26,14
Buena Regional School District,96,116,106,99,102,101,103,113,145,117,148,118,137,143,1644,NJ-010590,2018-2019,21.1,53.9,33.3,*,*,NA,23.4,*,*,0,0,11:1,117:1,150,14.6,12.7,88.0,313,19.7,2,21,32,21,24
Egg Harbor City School District,54,52,65,48,54,53,46,64,41,42,0,0,0,0,519,NJ-011300,2018-2019,24.7,70.3,14.7,*,*,NA,12.3,*,*,0,0,10:1,130:1,51,9.0,8.1,56.9,65,13.5,2,29,35,15,19
Egg Harbor Township School District,175,375,510,483,504,570,544,595,566,670,574,573,588,613,7340,NJ-011310,2018-2019,14.4,44.3,52.1,*,*,0.14009858839345732,42.1,14.0,46.7,0.047271041038720145,0.06882685778951339,12:1,188:1,605,13.4,12.1,88.8,817,11.3,4,31,32,18,15
Estell Manor School District,0,21,21,20,20,16,22,26,22,14,0,0,0,0,182,NJ-011410,2018-2019,20.9,26.4,54.2,12.9,68.5,NA,42.5,16.1,51.7,0,0,11:1,61:1,16,11.5,9.1,75.0,19,10.3,3,26,39,19,13
Folsom Borough School District,16,32,46,41,39,49,44,45,42,44,0,0,0,0,398,NJ-011540,2018-2019,20.6,27.4,50.4,24.5,56.9,NA,37.5,30.2,39.3,0,0,10:1,133:1,39,9.8,8.3,74.4,6,1.5,3,40,35,18,4
