district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
North Hanover Twp,NJ-053650,17865,11750,1147
Northern Burlington Reg,NJ-053690,16797,9127,1707
Palmyra Boro,NJ-053920,17241,9295,1760
Pemberton Twp,NJ-054050,20396,11625,1821
Rancocas Valley Regional,NJ-054320,16172,8883,1999
Riverside Twp,NJ-054450,15343,9328,1751
Riverton,NJ-054460,17396,10806,2129
Shamong Twp,NJ-054740,17625,10006,2132
Southampton Twp,NJ-054930,17743,10123,2179
Springfield Twp,NJ-055010,14864,9347,928
Tabernacle Twp,NJ-055130,17414,10608,1606
Washington Twp,NJ-055490,0,0,0
Westampton,NJ-055720,16133,9599,1698
Willingboro Twp,NJ-055805,17371,9512,1463
Woodland Twp,NJ-055890,22211,14242,2271
Audubon Boro,NJ-070150,16907,10014,1536
Barrington Boro,NJ-070190,18348,11444,1830
Bellmawr Boro,NJ-070260,16570,10109,1443
Berlin Boro,NJ-070330,13331,8817,1336
Berlin Twp,NJ-070340,17791,10884,2180
Black Horse Pike Regional,NJ-070390,16999,9218,1871
Brooklawn Boro,NJ-070580,17498,11882,1744
Camden City,NJ-070680,25858,14567,1991
Camden County Vocational,NJ-070700,19907,10214,3106
Cherry Hill Twp,NJ-070800,17738,11466,1804
Clementon Boro,NJ-070880,14745,9100,1712
Collingswood Boro,NJ-070940,16782,9801,1523
Eastern Camden County Reg,NJ-071255,17000,9557,1898
Gibbsboro Boro,NJ-071720,18978,12051,1827
Gloucester City,NJ-071770,16734,9735,1603
Gloucester Twp,NJ-071780,14837,9884,1251
Haddon Heights Boro,NJ-071880,15932,9766,1816
Haddon Twp,NJ-071890,15476,10008,1404
Haddonfield Boro,NJ-071900,14713,7942,1574
Laurel Springs Boro,NJ-072540,17318,10792,1957
Lawnside Boro,NJ-072560,18288,8142,2508
Lindenwold Boro,NJ-072670,14250,8483,1317
Magnolia Boro,NJ-072890,18362,11312,2209
Merchantville Boro,NJ-073110,16461,10782,1750
Mount Ephraim Boro,NJ-073420,16548,9665,1801
Oaklyn Boro,NJ-073770,20032,11101,1700
Pennsauken Twp,NJ-074060,17023,9984,1680
Pine Hill Boro,NJ-074110,17284,10054,1622
Runnemede Boro,NJ-074590,17895,9731,1933
Somerdale Boro,NJ-074790,18321,11313,2317
Sterling High School Dist,NJ-075035,17325,9562,1904
