district_name,ST_LEAID,per_pupil_cost,per_pupil_class_instruction,per_pupil_admin_cost
Blairstown Twp,NJ-410400,17802,10670,1663
Franklin Twp,NJ-411620,22472,13402,2629
Frelinghuysen Twp,NJ-411670,17233,9631,1665
Great Meadows Regional,NJ-411785,16164,9237,1603
Greenwich Twp,NJ-411840,14073,9366,1205
Hackettstown,NJ-411870,17396,10142,1534
Harmony Twp,NJ-412040,25909,16627,2442
Hope Twp,NJ-412250,24251,14386,2686
Knowlton Twp,NJ-412470,20148,11730,2120
Lopatcong Twp,NJ-412790,14197,9226,1522
Mansfield Twp,NJ-412970,17610,12014,1770
North Warren Regional,NJ-413675,20351,10618,2133
Oxford Twp,NJ-413890,18761,11205,2003
Phillipsburg Town,NJ-414100,18095,11206,1723
Pohatcong Twp,NJ-414200,18371,11505,1892
Warren Co Special Service,NJ-415450,0,0,0
Warren County Vocational,NJ-415460,19782,10624,4047
Warren Hills Regional,NJ-415465,19472,10854,1994
Washington Boro,NJ-415480,15743,9848,1106
Washington Twp,NJ-415530,19627,10890,2341
White Twp,NJ-415780,20319,13102,2015
