SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI,GeoId,Geography,Edu_Less_9th,Edu_9th_12th_No_Diploma,Edu_HS_Grad,Edu_Some_College,Edu_Assoc_Degree,Edu_Bach_Degree,Edu_Grad_Prof_Degree,Edu_HS_or_Higher,Edu_Bach_or_Higher,Emp_Labor_Force,Emp_Fem_Labor_Force,Emp_Unemp_Rate,Enroll_Nursery,Enroll_Kindergarten,Enroll_Elem,Enroll_HS,Enroll_College,HH_Married_Children,HH_Avg_Size,Fam_Avg_Size,Housing_Units,Occ_Mgmt_Bus_Sci_Arts,Occ_Service,Occ_Sales_Office,Occ_Nat_Res_Const_Maint,Occ_Prod_Trans_Mat_Mov,Race_White,Race_Black,Race_Amer_Indian_Alaska,Race_Asian,Race_Hawaiian_Pacific,Race_Other,Pop_Under_18,HH_Med_Income,HH_Mean_Income,Fam_Med_Income,Fam_Mean_Income,Fam_Income_150k_199k,Fam_Income_200k_plus,HH_Income_150k_199k,HH_Income_200k_plus,km_euclid,km_maha,km_pc_scaled,km_pc_unscaled,hc_euclid_ward,hc_euclid_mcquitty,hc_pc_dist_scaled_ward,hc_pc_dist_scaled_mcquitty,hc_pc_dist_unscaled_ward,hc_pc_dist_unscaled_mcquitty,euclid_score,mah_score,PC1,PC2
2023-2024,NJ,Clinton-Glen Gardner School District,NJ-190910,3403330,10 School Street,NA,NA,Clinton,08809,http://cpsnj.org,Yes,PK,08,9500000US3403330,"Clinton Town-Glen Gardner School District, NJ",0.6,4.1,20.4,17.2,10.6,25.8,21.3,95.3,47.1,71.9,70.3,3.8,3.8,8,39.7,20.8,27.8,21.3,2.4,3.07,1868,54,12.7,20.9,6.9,5.5,88.2,2.9,0.2,7.4,0,11.6,19.6,119063,144784,161625,183152,20.9,35.4,15.1,24.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,200,287,-1.2265509444488136,1.3817109722781464
2023-2024,NJ,Clinton Township School District,NJ-190920,3403360,128 Cokesbury Road,NA,NA,Lebanon,08833,http://www.ctsdnj.org,Yes,PK,08,9500000US3403360,"Clinton Township School District, NJ",1.2,2.1,18.4,13.8,4.1,35.3,25,96.7,60.4,59.7,61,7,4.8,3.1,40.7,24.6,26.8,23.2,2.58,2.96,4860,56.7,8.6,23.6,5.2,5.9,86.4,7.3,0.4,6.9,0.2,4.3,18.6,156601,193050,178286,215341,13.3,45.8,11.8,39.4,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,74,64,-3.2913570810007022,0.4448827485726745
2023-2024,NJ,Closter Public School District,NJ-030930,3403390,340 Homans Avenue,NA,NA,Closter,07624,http://www.closterschools.org,Yes,PK,08,9500000US3403390,"Closter Borough School District, NJ",1.7,3.1,13.8,9.5,5.2,36.2,30.5,95.2,66.7,70.8,67.9,3.8,7.6,5.2,44.9,21,21.2,34.4,3.12,3.36,2881,56.4,10.7,21.7,4.5,6.8,53.6,7.5,4.9,37.9,0,4.1,27.1,181652,223247,193148,231911,11.3,46.9,11.7,45.1,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,113,398,-4.383751756287569,-3.951740233185578
2023-2024,NJ,Colts Neck Township School District,NJ-250945,3403450,70 Conover Road,NA,NA,Colts Neck,07722,http://www.coltsneckschools.org,Yes,PK,08,9500000US3403450,"Colts Neck Township School District, NJ",0.4,1.7,10.1,14.2,7.9,32.2,33.6,97.9,65.8,67.5,60.1,4.8,6,2.1,46.8,24.8,20.4,28.1,2.81,3.09,3697,62.6,6.5,20.9,6.1,3.9,95,1.5,0.5,4.1,0,5.4,22.6,185417,253209,206500,254359,11.3,51.2,11.4,45,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,30,12,-5.051748158771443,-0.40963507316260217
2023-2024,NJ,Commercial Township School District,NJ-110950,3403480,1308 North Avenue,NA,NA,Port Norris,08349,http://www.commercialschools.org,Yes,PK,08,9700000US3403480,"Commercial Township School District, NJ",2.5,5.2,43.5,25,12.6,10.8,0.5,92.3,11.3,57.8,50.7,6.9,4.7,3.7,42,28.9,20.7,16.5,2.66,3.25,2083,18.5,34.4,13.6,18.5,15,84.8,14.7,3.1,1.8,0,6,27.4,55254,75742,62727,70458,4,0.7,2.7,2.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,531,461,6.777527251590562,0.019181982212889803
2023-2024,NJ,Cranbury Township School District,NJ-230970,3403540,23 North Main Street,NA,NA,Cranbury,08512,http://www.cranburyschool.org,Yes,PK,08,9700000US3403540,"Cranbury Township School District, NJ",1.1,0.4,10,10.2,4.7,34.5,39.1,98.5,73.6,66.2,54.8,5.4,4.8,3.7,35.4,32.1,24.1,27.1,2.89,3.18,1413,69.1,6.2,21.5,1.5,1.7,78.7,5.9,0,18.1,0,4.1,20.6,198281,242261,222625,274610,14.5,55.6,12.5,49.6,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,43,381,-6.5827528770949675,-0.8723925614117508
2023-2024,NJ,Deal Boro School District,NJ-251000,3403630,201 Roseld Ave,NA,NA,Deal,07723,http://www.dealschool.org,No,KG,08,9700000US3403630,"Deal Borough School District, NJ",3.4,5.8,29.8,24.5,7.4,22.2,6.9,90.8,29,53.1,44.2,5.2,0,6.4,31.2,12.4,50,8,2.57,3.42,953,33.1,30.9,21,11,4,82.8,2,0,3.9,0,15.7,18.6,73380,159280,133636,242919,9.7,31.9,6,19.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,441,543,2.6030509173671192,1.1964608612986398
2023-2024,NJ,Deerfield Township School District,NJ-111020,3403660,419 MORTON AVENUE,NA,NA,ROSENHAYN,08352,http://www.deerfield.k12.nj.us,Yes,PK,08,9500000US3403660,"Deerfield Township School District, NJ",6,13,36.1,13.8,9.6,14.9,6.4,80.9,21.3,59.2,51.6,6.5,3.7,6.3,47.5,28.1,14.3,17,2.81,3.47,1174,40.7,18.4,14.9,18.3,7.7,77.3,13.5,2.4,1.4,0.3,14.3,24,78021,97908,107188,117772,7.3,16,6,12.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,476,493,4.568386678632148,-2.2508124906487326
2023-2024,NJ,Delanco Township School District,NJ-051030,3403690,1301 Burlington Avenue,NA,NA,Delanco,08075,http://www.delanco.com,Yes,PK,08,9700000US3403690,"Delanco Township School District, NJ",1,4.7,37.7,24.9,7.5,15.6,8.6,94.4,24.2,61,57.9,6.2,8.9,4.8,40.9,24.9,20.4,13.3,2.25,2.81,2232,25.5,16.5,31.9,6.6,19.4,72.3,21.9,0.1,4,0,4.5,19.5,72400,93684,93717,110326,6.5,12.8,7.1,9.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,427,227,4.028600912175434,1.6142692914225705
2023-2024,NJ,Delaware Township School District,NJ-191040,3403720,501 Rosemont Ringoes Road,NA,NA,Sergeantsville,08557,http://www.dtsk8.org,Yes,PK,08,9500000US3403720,"Delaware Township School District, NJ",1.7,0.9,16.3,14.9,7.6,34.7,23.9,97.4,58.6,59.3,48.2,1.1,15.4,2.5,15.5,20.1,46.5,15.8,2.63,2.85,1912,59.2,11.8,24.4,4,0.6,96.8,0.4,0.5,1.8,0,5.9,12.4,166863,258355,181538,260686,27.1,33,23.5,31.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,236,275,-4.173868627681257,3.9051284843302065
2023-2024,NJ,Demarest School District,NJ-031070,3403810,568 Piermont Road,NA,NA,Demarest,07627,http://demarestpublicschools.org,Yes,PK,08,9500000US3403810,"Demarest Borough School District, NJ",0,0.8,6.5,11.7,5.4,38,37.7,99.2,75.6,64,54.6,4.8,12.6,7.8,52.3,12.9,14.4,37.4,2.91,3.15,1743,63.6,4.2,25.3,3.9,3.1,71.3,0.9,0,27.4,0,1.1,27.5,165119,264603,200104,284007,12.7,50,11.1,44.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,31,70,-6.400957330744307,-2.0543332051359506
2023-2024,NJ,Dennis Township School District,NJ-091080,3403840,601 HAGAN ROAD,NA,NA,CLERMONT,08210,http://www.dtschools.org,Yes,PK,08,9700000US3403840,"Dennis Township School District, NJ",1.7,6.1,32,19.4,5.1,25.3,10.3,92.2,35.6,64.6,63.6,4.3,7.3,3.9,46.1,23.7,19,26.4,2.61,2.93,2663,42.7,19.2,18.3,14.4,5.4,98.7,0.5,1,2.4,0,3.1,21.4,110300,119875,117900,129008,19.9,9.3,14.8,9.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,289,117,1.2215093647370183,1.2096423126019593
2023-2024,NJ,Denville Township K-8 School District,NJ-271090,3403870,1 St. Mary's Place,2nd Floor,NA,Denville,07834,http://www.denville.org,Yes,PK,08,9500000US3403870,"Denville Township School District, NJ",1,1.5,16.2,15.7,5.5,34.7,25.2,97.5,60,67.1,63.1,6.3,9.5,5.7,41.7,17.2,26,24.9,2.64,3.1,6970,58.4,13,19.1,4.8,4.6,89.7,4.8,0.4,9.2,0,4.4,19,156406,181749,178369,209081,24.4,38.1,21.4,30.6,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,122,240,-3.500966845659654,0.8207601029990342
2023-2024,NJ,Downe Township School District,NJ-111120,3403960,220 Main Street,NA,NA,Newport,08345,http://www.downeschool.org,Yes,PK,08,9700000US3403960,"Downe Township School District, NJ",3.1,10.6,51.8,12,6.5,11.8,4.2,86.3,16,53.4,40.4,5.5,9,6.2,57.1,20.1,7.6,12.8,2.39,3.28,945,20.7,23.5,20.6,9.9,25.3,93.9,0.8,5.8,0.2,0,8.1,25.8,60982,86938,85306,96530,6.6,6.1,3.9,5.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,522,478,6.014922120338462,-1.3367287768017913
2023-2024,NJ,Eagleswood Township School District,NJ-291150,3404050,511 Route 9,NA,NA,West Creek,08092,http://www.eagleswood.org,Yes,PK,06,9500000US3404050,"Eagleswood Township School District, NJ",3.3,4,32.5,20.6,8.8,17.7,13.1,92.7,30.8,64.3,57.2,5.3,10,3.1,39.2,12.9,34.8,15.3,2.75,3.22,817,31.7,23.2,25.6,12.1,7.3,97.6,0,0,3.4,0,2.9,16.8,93438,124820,115417,149438,16,21.1,15.1,15.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,351,377,2.0356899862841056,2.003838355362613
2023-2024,NJ,East Amwell Township School District,NJ-191160,3404080,43 Wertsville Road,NA,NA,Ringoes,08551,http://www.eastamwell.org,Yes,PK,08,9500000US3404080,"East Amwell Township School District, NJ",1.7,1.7,24.8,11.6,6.7,37.9,15.7,96.6,53.5,69.1,66,2.8,10.1,5.1,27.6,22.9,34.3,11.5,2.26,2.79,1765,55.8,10.7,16.6,9.7,7.2,98.5,0.3,0.8,1.3,0,4.1,11.4,119455,146105,148588,168128,10.3,34.9,7.6,27.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,212,131,-1.3062890648703647,2.7042001792806585
2023-2024,NJ,East Greenwich Township School District,NJ-151180,3404140,559 Kings Highway,NA,NA,Mickleton,08056,http://www.eastgreenwich.k12.nj.us,Yes,PK,06,9500000US3404140,"East Greenwich Township School District, NJ",1,1.6,30.4,17,7.7,25.7,16.6,97.4,42.3,68.6,65,2.1,3.8,5.8,59.4,14.3,16.6,34,2.83,3.1,4262,52.6,14.4,17.4,8.1,7.6,88.4,5.4,0.4,7.8,0,3.4,25.8,135266,155680,139767,168203,15.3,31,14.3,27.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,156,312,-1.4118202023393316,-0.5764379864630595
2023-2024,NJ,East Hanover Township School District,NJ-271190,3404170,20 School Avenue,NA,NA,East Hanover,07936,http://www.easthanoverschools.org,Yes,PK,08,9500000US3404170,"East Hanover Township School District, NJ",2.1,3.1,26.3,10.3,3.9,30.2,24,94.7,54.2,65.9,61.3,4.3,6.4,3.2,42.2,23.1,25.1,26.4,2.84,3.21,4015,59,7.9,23.2,5,4.9,87.1,2.1,0.1,11.6,0.1,6,17.4,143365,179641,167727,198616,17.3,37.6,14.6,33.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,87,234,-3.0035275609440655,-0.1438509860142717
2023-2024,NJ,East Newark School District,NJ-171200,3404200,501-11 North Third Street,NA,NA,East Newark,07029,http://www.eastnewarkschool.org,No,KG,08,9700000US3404200,"East Newark Borough School District, NJ",15.3,11.4,32.5,11.9,4.4,20.1,4.3,73.3,24.5,67.7,65.5,8.2,1.9,6.5,35.5,20.3,35.7,24.5,3.21,3.05,882,25.9,23.4,12.1,10.1,28.6,59,0.6,0,8,0,57,22.6,63594,89832,53750,81561,1.5,4.5,2.5,9.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,540,523,6.68999651100722,-5.341371962810534
2023-2024,NJ,East Rutherford School District,NJ-031230,3404290,250 Grove Street,NA,NA,East Rutherford,07073,http://www.erboe.net,Yes,PK,08,9500000US3404290,"East Rutherford Borough School District, NJ",5.6,5.3,20.6,16.9,8.3,30.1,13.2,89,43.3,69.5,66.6,4.2,8.6,3.2,28.1,15.4,44.6,19.9,2.35,2.99,4539,52.9,14.7,18.7,4.5,9.2,59.8,6.2,0.5,25.7,0,12.7,16.5,92536,113668,110271,129105,7.1,24.6,7.3,18.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,321,271,1.0060535709225653,-0.08797709033472499
2023-2024,NJ,Eastampton Township School District,NJ-051250,3404350,1 Student Drive,NA,NA,Eastampton,08060,http://www.etsdnj.us,Yes,PK,08,9500000US3404350,"Eastampton Township School District, NJ",0,3.1,21.9,18.4,16.1,28.8,11.7,96.9,40.5,79.2,74.9,3.7,6.1,4.3,30.6,6.1,52.8,15.7,2.32,2.6,2860,52.1,9.2,19.9,5.2,13.5,76.2,28.8,1.5,2.7,0,12.1,14.3,102632,113475,104819,125336,18.9,10.6,15,9.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,489,521,1.4653860029556853,3.107300237769477
2023-2024,NJ,Eatontown Public School District,NJ-251260,3404410,5 Grant Avenue,NA,NA,Eatontown,07724,http://www.eatontown.org,Yes,PK,08,9500000US3404410,"Eatontown Borough School District, NJ",4.2,5.3,25.8,13.8,10.5,24.7,15.6,90.4,40.2,67.2,60,7.7,10.4,2.2,40.6,17.7,29.2,14.6,2.31,3.16,6043,40.7,16.1,21.8,12.4,9,76.6,12,1.6,12.5,0,5.6,17.8,88393,107000,110568,142607,12.6,19.9,8.7,11.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,312,307,2.0840303466347514,0.5246129049802836
2023-2024,NJ,Edgewater School District,NJ-031270,3404440,251 Undercliff Ave,NA,NA,Edgewater,07020,http://www.edgewaterschools.org,Yes,PK,06,9700000US3404440,"Edgewater Borough School District, NJ",1.8,0.5,10.4,10,2.9,41,33.3,97.7,74.3,73.1,66.3,4.1,10.7,7.5,34.2,11.8,35.8,15.2,2.05,2.73,7638,72,5.6,17.8,3.1,1.4,49.1,6.3,0.2,45.3,1.2,8.4,15.7,136806,189467,178889,215306,10.1,47.1,11.7,35.1,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,254,480,-4.636168473449498,-0.12087288285915718
2023-2024,NJ,Edgewater Park Township School District,NJ-051280,3404470,25 Washington Avenue,NA,NA,Edgewater Park,08010,http://www.edgewaterparksd.org,Yes,PK,08,9700000US3404470,"Edgewater Park Township School District, NJ",2.4,4.8,34.8,22.2,9.6,19.1,7.1,92.9,26.2,68.1,64.4,5.5,2.1,7.6,37.9,26.7,25.7,22.2,2.63,3.39,3775,37.7,19.9,16.9,14.8,10.7,65.6,30.9,3.8,1.6,0,3.4,21.4,80139,90338,103813,107890,7.2,15.3,6.9,10.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,454,340,3.8338225849399037,-0.5923069575174851
2023-2024,NJ,Egg Harbor City School District,NJ-011300,3404530,730 Havana Avenue,NA,NA,Egg Harbor City,08215,http://www.eggharborcityschools.com,Yes,PK,08,9500000US3404530,"Egg Harbor City School District, NJ",5.9,12.8,32.5,20.4,10.2,8.8,9.4,81.2,18.2,64.5,57.4,10,2.1,19.4,51.3,17,10.3,14.3,2.34,3.13,2018,33.4,29.6,20.5,8.4,8,58,29.2,0.8,0.7,0,21.4,24.4,51675,65887,51371,76553,8.7,4.1,6.2,2.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,534,505,6.75975731101648,-1.81530459498008
2023-2024,NJ,Elk Township School District,NJ-151330,3404620,900 Clems Run,NA,NA,Glassboro,08028,http://www.auraelementary.us,Yes,PK,06,9500000US3404620,"Elk Township School District, NJ",1,5.1,27.5,15,9.5,29.5,12.5,93.9,42,63.5,57,6.5,1.6,4.3,48.7,32.5,12.9,32.9,3.01,3.42,1672,45,8.4,19.7,9.8,17.2,84.2,13.1,0.4,4.2,0,2.7,24.9,145431,152903,177287,174692,21.4,35.6,18.4,28.7,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,187,324,-1.1285552607400988,-0.9806996616123708
2023-2024,NJ,Elsinboro Township School District,NJ-331350,3404680,631 Salem-Ft. Elfsborg Rd.,NA,NA,Salem,08079,http://www.elsinboroschool.org,No,KG,08,9700000US3404680,"Elsinboro Township School District, NJ",2.3,3.7,43.2,16.4,14.1,12.8,7.4,94,20.3,61.4,60.3,6.6,11.4,1.8,48.5,10.8,27.5,15.1,2.47,2.95,440,41,11.9,25.8,5.6,15.7,86.7,11.3,0.1,0.2,0,9.1,20.4,87250,102313,101094,116214,8.4,16.9,7.1,13.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,404,429,3.2244276804949785,1.3685579009449094
2023-2024,NJ,Englewood Cliffs School District,NJ-031380,3404770,143 Charlotte Place,NA,NA,Englewood Cliffs,07632,http://www.englewoodcliffs.org,Yes,PK,08,9700000US3404770,"Englewood Cliffs Borough School District, NJ",2.9,0.7,9.9,5.4,5.5,33.3,42.3,96.4,75.6,65,56.7,6.8,7.4,5.5,52.7,17.8,16.7,29,2.85,3.16,2049,67.8,7.4,16.9,4.2,3.8,52.6,3.3,0,46.1,1,5.1,21.6,213261,301952,275000,339965,9.4,60.8,8,54.6,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,109,508,-7.154653800617122,-3.595087612604377
2023-2024,NJ,Essex Fells School District,NJ-131400,3404830,102 HAWTHORNE ROAD,NA,NA,ESSEX FELLS,07021,http://www.efsk-6.org,Yes,PK,06,9500000US3404830,"Essex Fells Borough School District, NJ",1.5,0,7.8,8.3,2.3,37.3,42.7,98.5,80,64.3,49.9,4.2,5.8,2.3,62.9,17.7,11.4,39.7,3.15,3.5,798,75.2,6,12.4,3,3.4,91.7,2.6,0.2,6.9,0,9.5,31.6,247000,343062,275000,379822,8.9,71.6,9.1,63.5,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,36,75,-8.979597053451563,-4.491514125204486
2023-2024,NJ,Estell Manor School District,NJ-011410,3404860,128 Cape May Avenue,NA,NA,Estell Manor,08319,http://www.estellmanorschool.com,Yes,PK,08,9700000US3404860,"Estell Manor City School District, NJ",1.1,2,38.2,15.1,8.3,25.4,9.8,96.9,35.2,64.1,58.2,3.7,5.3,2.1,36.3,27.3,29.1,30.9,2.89,3.12,708,37.4,16.4,21.4,14.4,10.3,94.3,2.3,2.5,2.7,0,1.6,22.2,114091,138928,127750,149779,17.7,15.6,15.6,13.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,275,193,0.6449440559092485,1.2341660341838812
2023-2024,NJ,Evesham Township School District,NJ-051420,3404890,25 S. Maple Avenue,NA,NA,Marlton,08053,http://www.evesham.k12.nj.us,Yes,PK,08,9500000US3404890,"Evesham Township School District, NJ",1,1.9,21.3,17.1,7.4,33.9,17.3,97,51.2,68.7,62.2,3.7,7.9,4.2,40.8,20.7,26.4,23.2,2.46,3.19,19900,57.8,11.5,21.7,3.4,5.6,85.9,7.2,0.8,8.1,0,3.6,21,111893,141008,143951,172290,19.4,28.3,15.3,20.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,144,39,-1.657323908433063,0.8637416030903389
2023-2024,NJ,Fair Haven School District,NJ-251440,3404950,224 Hance Road,Fair Haven,NA,Fair Haven,07704,http://www.fairhaven.edu,Yes,PK,08,9500000US3404950,"Fair Haven Borough School District, NJ",0.5,2.4,5.4,9.4,3.2,49.9,29.2,97.1,79.1,70.2,60.3,3.6,15.3,2.8,45.3,25.6,11,40.4,2.95,3.33,2116,59.7,10.4,26.7,1.6,1.6,95.6,3.5,0,1.4,0,2.1,31.2,229643,330233,249125,341099,7.3,60.7,7,56.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1,1,-7.712313191440529,-2.8056955520728435
2023-2024,NJ,Fairfield Public School District,NJ-131465,3405010,277 Fairfield Road,Suite 208,NA,Fairfield,07004,http://www.fpsk6.org,Yes,PK,06,9500000US3405010,"Fairfield Township School District (Essex County), NJ",1.3,2,23.4,16.6,5.2,32.9,18.5,96.6,51.4,65.7,55.6,10,8.5,6.3,39.1,17.8,28.3,24.4,2.62,3.16,2990,55.4,12.4,24.6,0.6,7.1,96.1,2,0,1.9,0,6.5,21.1,110703,149011,155700,179251,14.9,37.2,11.5,28,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,123,220,-1.6534091051811264,0.6211267641670788
2023-2024,NJ,Fairfield Township School District,NJ-111460,3405040,375 Gouldtown-Woodruff Rd.,NA,NA,Bridgeton,08302,http://www.fairfield.k12.nj.us,Yes,PK,08,9500000US3405040,"Fairfield Township School District (Cumberland County), NJ",5.3,14.3,50.7,15.6,5.2,5.5,3.3,80.3,8.8,46.7,57.4,10,8.1,4.2,37.8,20.4,29.4,9.2,2.81,3.45,1846,29.3,23,16.6,13.6,17.5,40,48.5,8.1,2.1,0.4,8.5,18.5,60278,79653,67852,83970,7.9,4.8,6.4,4.4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,552,540,8.10212078290189,-2.9714185119278467
2023-2024,NJ,Fairview Public School District,NJ-031470,3405070,130 Hamilton Avenue,NA,NA,Fairview,07022,http://www.fairviewps.org,Yes,PK,08,9700000US3405070,"Fairview Borough School District, NJ",17.7,6.9,29.4,15.7,6.1,15.5,8.8,75.4,24.3,66.3,54.7,6.5,4.9,2.6,43,21.6,27.9,14.9,2.56,3.27,5964,32.2,21.4,15.1,11.3,20,68.7,3,0.7,9.8,0,29.2,16.1,59359,90600,66701,110640,8.8,15.3,6.8,11.3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,509,489,5.396346395837043,-2.6841993236086616
2023-2024,NJ,Farmingdale Public School District,NJ-251490,3405130,49 Academy Street,NA,NA,Farmingdale,07727,http://www.farmingdaleschool.com,Yes,PK,08,9500000US3405130,"Farmingdale Borough School District, NJ",0.1,5.6,27.7,22.1,9.1,28.1,7.3,94.3,35.3,64.1,62.2,11.1,2.9,6.1,28.7,36.8,25.5,22.9,2.44,3.29,567,46.6,20.9,15.9,9.1,7.5,98.3,3.2,0.6,1.7,0,1.6,17.3,93523,104844,113750,127870,22.8,13.1,15.7,7.8,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,413,355,1.5005811666457094,2.2954696466360067
2023-2024,NJ,Flemington-Raritan Regional School District,NJ-191510,3405190,50 Court Street,NA,NA,Flemington,08822,http://www.frsd.k12.nj.us,Yes,PK,08,9500000US3405190,"Flemington-Raritan Regional School District, NJ",3.1,3.1,15.8,10.5,6,35.5,25.8,93.8,61.4,70.3,66.9,3.4,5.4,4.8,46.3,22.9,20.6,30.8,2.63,3.16,10977,57.3,11.7,19.9,4.9,6.2,84.3,3.7,1,10.7,0.1,7.4,22.1,134691,184278,173429,215279,15.8,42.1,13.1,33,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,68,18,-3.202833028903868,-1.0870701511267509
2023-2024,NJ,Florham Park School District,NJ-271530,3405250,67 Ridgedale Aveune,NA,NA,Florham Park,07932,http://www.fpks.org,Yes,PK,08,9500000US3405250,"Florham Park Borough School District, NJ",0.6,1,13.5,11.8,5.3,33.6,34.2,98.4,67.8,62.7,57.1,3.4,7.6,1.8,21.1,15.6,53.8,21.7,2.44,3.15,4778,63.9,7.2,20,4.3,4.6,81.3,7.3,0.2,10.2,0,6.2,16.3,141620,183050,179750,221714,17.5,45.1,15,32,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,161,280,-4.079072764882966,1.6272610170934894
2023-2024,NJ,Folsom Borough School District,NJ-011540,3405280,1357 Mays Landing Road,NA,NA,Folsom,08037,http://www.folsomschool.org/,Yes,PK,08,9700000US3405280,"Folsom Borough School District, NJ",4.3,3.8,37.6,18.6,6.6,18.2,10.8,91.9,29,69.5,68.2,7.9,3.9,7.6,42.3,26.9,19.3,19.7,2.72,3.14,662,41.9,17.2,20.9,9.2,10.8,94.1,1.7,0.3,0.8,0.4,9,18.7,112989,137600,124375,158030,12.1,18.4,11.4,16.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,285,364,1.7560989810182255,0.30498315611977533
2023-2024,NJ,Frankford Township Consolidated School District,NJ-371560,3405340,2 Pines Road,NA,NA,Branchville,07826,http://www.frankfordschool.org,Yes,PK,08,9500000US3405340,"Frankford Township School District, NJ",1.2,3.3,30.6,19.9,7.9,23.6,13.6,95.6,37.1,65.7,61.6,4.1,7.6,9.2,39.3,19,25,16.3,2.58,2.94,2945,44.5,11.8,19.7,13.9,10.1,92.3,2.3,0.2,4.2,0,7.2,18.1,111761,128289,125976,140364,16.4,19.4,16.9,16.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,294,316,0.7723864713367863,2.003803650362645
