SCHOOL_YEAR,ST,LEA_NAME,ST_LEAID,LEAID,LSTREET1,LSTREET2,LSTREET3,LCITY,LZIP,WEBSITE,G_PK_OFFERED,GSLO,GSHI,GeoId,Geography,Edu_Less_9th,Edu_9th_12th_No_Diploma,Edu_HS_Grad,Edu_Some_College,Edu_Assoc_Degree,Edu_Bach_Degree,Edu_Grad_Prof_Degree,Edu_HS_or_Higher,Edu_Bach_or_Higher,Emp_Labor_Force,Emp_Fem_Labor_Force,Emp_Unemp_Rate,Enroll_Nursery,Enroll_Kindergarten,Enroll_Elem,Enroll_HS,Enroll_College,HH_Married_Children,HH_Avg_Size,Fam_Avg_Size,Housing_Units,Occ_Mgmt_Bus_Sci_Arts,Occ_Service,Occ_Sales_Office,Occ_Nat_Res_Const_Maint,Occ_Prod_Trans_Mat_Mov,Race_White,Race_Black,Race_Amer_Indian_Alaska,Race_Asian,Race_Hawaiian_Pacific,Race_Other,Pop_Under_18,HH_Med_Income,HH_Mean_Income,Fam_Med_Income,Fam_Mean_Income,Fam_Income_150k_199k,Fam_Income_200k_plus,HH_Income_150k_199k,HH_Income_200k_plus,km_euclid,km_maha,km_pc_scaled,km_pc_unscaled,hc_euclid_ward,hc_euclid_mcquitty,hc_pc_dist_scaled_ward,hc_pc_dist_scaled_mcquitty,hc_pc_dist_unscaled_ward,hc_pc_dist_unscaled_mcquitty,euclid_score,mah_score,PC1,PC2
2023-2024,NJ,Beach Haven School District,NJ-290230,3401290,700 North Beach Ave.,NA,NA,Beach Haven,08008,http://www.BeachHavenSchool.com,Yes,PK,06,9500000US3401290,"Beach Haven Borough School District, NJ",7.5,2.6,11.1,10.5,4.6,38,25.6,89.9,63.6,52.2,47.7,4.5,6.4,5.2,29.5,19.1,39.9,11.4,2.15,2.6,2690,55.8,10.5,27.5,2.9,3.3,88,0.1,0.1,0.8,0.3,12.4,11.5,110815,174906,143750,220965,18.2,28.7,12,24.6,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,247,397,-1.8711652065446511,2.7092546024514026
2023-2024,NJ,Bedminster Township Public School District,NJ-350240,3401320,234 Somerville Road,NA,NA,Bedminster,07921,http://www.bedminsterschool.org,Yes,PK,08,9700000US3401320,"Bedminster Township School District, NJ",0.9,0.7,14.9,12.2,8.6,34.7,27.9,98.4,62.7,69.3,65.7,4.6,8.8,2.1,33.1,21.9,34.2,12.8,1.98,2.84,4184,63.3,5.4,22.3,5.2,3.9,84.8,4.1,0.1,16.5,0,3.3,14.6,126190,173550,161063,219996,9.5,42.8,11.9,29.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,151,457,-3.18001091898005,2.3068913335053174
2023-2024,NJ,Bellmawr Public School District,NJ-070260,3401380,256 Anderson Ave,NA,NA,Bellmawr,08031,http://www.bellmawrschools.org,Yes,PK,08,9500000US3401380,"Bellmawr Borough School District, NJ",5.1,7.1,39.4,20.8,5.9,15.8,5.9,87.8,21.7,62.9,56.5,5.5,4.6,6.3,42.4,24.4,22.2,17.7,2.41,3.15,5154,36.8,16.5,23.4,8.3,15,81.4,6.3,0.6,10.6,0.2,7.5,20.8,71935,88027,78828,99338,12.5,6.7,10.3,4.7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,422,121,3.9506481626262016,0.2445538231749268
2023-2024,NJ,Belmar Elementary School District,NJ-250270,3401410,1101 Main St,NA,NA,Belmar,07719,http://www.belmar.k12.nj.us,Yes,PK,08,9700000US3401410,"Belmar Borough School District, NJ",2.6,4.6,16.8,18,7.9,35.6,14.4,92.8,50,71.4,68.8,6.8,6,10.2,26.8,27.7,29.4,9.3,2.17,3.12,3831,41.4,25.1,17.8,7,8.7,90,6.3,0,1,0,7,13.3,89736,141571,141293,192373,12.7,35,9.1,22.4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,281,273,0.49820009740226656,1.8057347210848338
2023-2024,NJ,Berkeley Township School District,NJ-290320,3401560,53 Central Parkway,NA,NA,Bayville,08721,http://www.btboe.org,Yes,PK,06,9500000US3401560,"Berkeley Township School District, NJ",2.8,7.5,39.8,19.4,8.7,15.7,6.1,89.7,21.8,47.2,41,6,7.6,5.1,45.8,19.6,21.9,9.8,2.02,2.74,24870,34.2,16.9,24,13.3,11.6,89.8,4.5,0.7,4.1,0.3,5.3,12.2,63200,94375,89938,113155,7.9,11.1,6,7.1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,499,111,4.456299163809251,2.6116109644437775
2023-2024,NJ,Berlin Borough School District,NJ-070330,3401590,215 South Franklin Avenue,NA,NA,Berlin,08009,http://www.bcsberlin.org,Yes,PK,08,9500000US3401590,"Berlin Borough School District, NJ",2.7,3.3,27.7,16.7,16.1,26.1,7.4,94,33.5,66.6,57,1.8,2.9,3.3,33.2,27.7,32.9,18.1,2.61,3.26,3007,41.1,14.1,24.9,6.6,13.2,83.2,12.8,0.1,2.9,0.5,6.6,21.3,98706,115738,128958,138373,30.3,13.4,21.9,10.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,438,420,1.0054927179116924,2.466791500893698
2023-2024,NJ,Berlin Township School District,NJ-070340,3401620,225 Grove Avenue,NA,NA,West Berlin,08091,http://www.btwpschools.org,Yes,PK,08,9700000US3401620,"Berlin Township School District, NJ",7.7,3,37.2,20.5,7.1,19.8,4.8,89.3,24.5,70.5,71.7,2.7,6.7,0,61.8,17.3,14.2,12.9,2.59,3.65,2364,30.1,24.9,24.6,11.6,8.8,73.2,6.4,0.4,6.9,0,18.2,16.9,87593,97288,114659,124752,18.4,7.3,14.2,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,443,525,3.49782237883076,-0.6191723416393846
2023-2024,NJ,Bethlehem Township School District,NJ-190370,3401710,280 Asbury West Portal Road,NA,NA,Asbury,08802,http://www.btschools.org,Yes,PK,08,9500000US3401710,"Bethlehem Township School District, NJ",0.2,0.4,14.3,19.6,3.6,44.2,17.6,99.3,61.8,70.3,59.5,1.4,11.5,7.3,32.4,25.8,22.9,27.7,2.8,2.92,1411,58,12.4,17.5,7,5.2,96.6,0.7,0.1,2.1,0,7.2,22,156875,200367,162344,214560,20,34.6,18.7,32.3,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,96,219,-3.962173648887585,1.2042150478455025
2023-2024,NJ,Beverly City School District,NJ-050380,3401740,601 Bentley Ave.,NA,NA,Beverly,08010,http://www.beverlycityschool.org,Yes,PK,08,9700000US3401740,"Beverly City School District, NJ",0.9,6,38.8,21,8,15.9,9.4,93.1,25.3,59,51.9,7.7,7.9,3,28.1,12.8,48.3,13.1,3,3.33,988,36.5,15.6,14.9,8.3,24.7,61.1,34,1.9,1.8,1.8,12.7,17.8,90069,101072,100000,103466,20.3,13.9,18.2,10.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,525,529,3.8753357622858746,0.1578819644644815
2023-2024,NJ,Blairstown Elementary Township School District,NJ-410400,3401800,1 Sunset Hill Road,NA,NA,Blairstown,07825,http://www.blairstownelem.net,Yes,PK,06,9500000US3401800,"Blairstown Township School District, NJ",1.8,5.2,28.4,15.5,7.6,32.4,9.1,93,41.5,62,59,7.6,8.3,2.9,39.2,13.3,36.3,22,2.66,3.17,2883,40.5,25.9,15.9,11.2,6.4,97.2,1.8,0.5,2.7,0,3.4,17.1,128074,139758,151071,164273,25.4,25,21.5,18.9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,319,282,0.20277644068357326,1.7336371440576317
2023-2024,NJ,Bloomingdale School District,NJ-310420,3401860,225 Glenwild Avenue,NA,NA,Bloomingdale,07403,http://www.bloomingdaleschools.org,Yes,PK,08,9700000US3401860,"Bloomingdale Borough School District, NJ",5.2,3.5,26.8,20.6,5.4,23.1,15.5,91.3,38.5,68.7,63.5,4.3,4.7,4.7,35.4,21.8,33.5,22.1,2.58,3.31,3018,43.3,11,28.5,10.3,6.9,86.4,4.8,0,4.8,0.6,12.2,18.2,125865,153373,140538,167391,13.7,31.2,10.5,26.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,205,72,0.2914954921152258,0.4371119732721811
2023-2024,NJ,Bloomsbury Borough School District,NJ-190430,3401890,20 Main Street,NA,NA,Bloomsbury,08804,http://www.bburyes.org,Yes,PK,08,9700000US3401890,"Bloomsbury Borough School District, NJ",1.1,10.3,19.1,16.7,7.9,35.2,9.6,88.6,44.9,64.3,61.9,4.2,1,8.7,28,18.8,43.5,12.5,2.23,2.84,425,46.5,12.6,17.6,12,11.3,95,4,0.7,1.6,0,1.2,14.4,85446,91750,106667,116199,17.5,7.9,11.7,5.2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,442,391,1.9592980024457634,2.946763944191658
2023-2024,NJ,Boonton Township School District,NJ-270460,3401980,11 Valley Road,NA,NA,Boonton Township,07005,http://www.rvsnj.org,Yes,PK,08,9700000US3401980,"Boonton Township School District, NJ",1.5,1.4,15.4,11.1,4.6,37.1,28.8,97,66,60.6,54.5,4.7,13.3,1.3,39.1,32.2,14.2,34.5,3.03,3.32,1532,57.8,5.6,29.2,3.2,4.3,93.5,1.2,0,5.2,0,3.6,26.8,168558,229677,204615,253044,15.3,50.9,15.5,44.6,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,15,165,-5.4859467883008115,-0.9663380419110128
2023-2024,NJ,Bradley Beach School District,NJ-250500,3402130,515 Brinley Avenue,NA,NA,Bradley Beach,07720,http://www.bbesnj.org,Yes,PK,08,9700000US3402130,"Bradley Beach Borough School District, NJ",4.7,5.5,14.5,11.1,4.8,31.8,27.6,89.8,59.4,61.1,48.8,3.4,0,12,35.7,21,31.3,10.1,2.15,2.85,2670,56.6,9.7,19.9,10.6,3.1,88.2,2,0,3.9,0,9,14.8,89967,116131,101635,152600,14.4,17.7,11.7,10.1,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,346,490,-0.20190910046686067,2.0151841207355496
2023-2024,NJ,Branchburg Township School District,NJ-350510,3402160,240 Baird Road,NA,NA,Branchburg,08876,http://www.branchburg.k12.nj.us,Yes,PK,08,9700000US3402160,"Branchburg Township School District, NJ",0.9,1.7,14.7,12.4,6.3,37.4,26.6,97.3,63.9,72.8,68.6,6.3,4.6,5.5,30.5,28,31.4,26.6,2.67,3.14,5624,55.6,10.2,23.6,4.1,6.5,82.6,4.9,0.6,13.3,0,4,19.4,163800,195043,188548,207837,19.6,45.6,16.2,39,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,89,31,-3.9975166492145076,0.35420453224385284
2023-2024,NJ,Brielle Boro School District,NJ-250560,3402310,605 UNION LANE,NA,NA,BRIELLE,08730,http://www.brielleschool.org,Yes,PK,08,9700000US3402310,"Brielle Borough School District, NJ",1.9,1.8,12.6,11.9,5.8,39.6,26.4,96.3,66,68,64.2,6.1,11.7,2.5,48.4,17.9,19.5,26.2,2.69,3.36,2149,58.5,8.1,26.7,2.4,4.3,96.5,0.9,1.4,0.7,0,2,24.5,160845,214917,169676,225697,19.9,41.7,16.9,37.1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,48,6,-4.269327913750252,-0.3255225292526377
2023-2024,NJ,Brigantine Public School District,NJ-010570,3402340,301 East Evans Boulevard,NA,NA,Brigantine,08203,http://www.brigantineschools.org,Yes,PK,08,9700000US3402340,"Brigantine City School District, NJ",4,5.2,23.3,18.1,5.9,27.3,16.2,90.8,43.5,60,55,4.9,6.2,0.5,45.4,12.7,35.2,8.4,2.08,2.61,9191,44.3,23.1,19.6,6.5,6.5,88.6,1.9,0.1,7,0.1,7.3,9.8,91307,136294,120335,174919,12.1,24.2,11.3,17.3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,359,317,1.1454285507953799,2.569194188667392
2023-2024,NJ,Brooklawn Public School District,NJ-070580,3402370,301 Haakon Road,NA,NA,Brooklawn,08030,http://www.alicecostello.com,Yes,PK,08,9700000US3402370,"Brooklawn Borough School District, NJ",3.2,15.5,39,21,7.7,10.8,2.7,81.3,13.5,59.5,63.7,7.6,2.1,3.3,46.1,17.6,30.9,12.5,2.22,2.83,962,31.6,20,23.4,9.6,15.4,81.3,14,0,7,0,3.2,20.6,58288,71216,66118,82063,1.6,5.1,2.2,3.5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,518,399,6.407758221650455,0.24567517114000628
2023-2024,NJ,Byram Township School District,NJ-370640,3402550,12 Mansfield Drive,NA,NA,Stanhope,07874,http://www.byramschools.org,Yes,PK,08,9500000US3402550,"Byram Township School District, NJ",0.5,2.2,20.7,21.8,11,28.3,15.5,97.3,43.7,72.9,73.3,6.1,3.2,3.9,39,28.2,25.7,22.1,2.72,3.03,3246,45,13.8,24.2,8.7,8.3,94.1,1.2,0.2,3.5,0.2,9.1,19.5,131792,149562,146327,163563,21.6,25.6,20.4,21.8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,243,278,-0.7093056086821058,1.9447360392321371
2023-2024,NJ,Califon Borough School District,NJ-190670,3402610,6 School St,NA,NA,Califon,07830,http://www.califonschool.org,Yes,PK,08,9500000US3402610,"Califon Borough School District, NJ",1.3,1.6,20.2,10.8,9.6,39,17.5,97.1,56.5,73.6,70.7,3.7,4.9,4.4,36.1,29.5,25.1,18.8,2.29,3.02,412,53.9,9.8,21.6,4,10.7,98.1,0.1,2.1,2.7,0,0.9,17.6,106875,135258,149375,175853,18.7,31.1,17.6,19,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,196,270,-1.8788202030566599,2.1398118860670463
2023-2024,NJ,Cape May City School District,NJ-090710,3402700,921 Lafayette Street,NA,NA,Cape May,08204,http://www.cmcboe.org,Yes,PK,06,9500000US3402700,"Cape May City School District, NJ",2.7,1.4,11.7,23,8.4,33.3,19.4,95.9,52.8,56.3,45.6,4.7,5.3,10,36.7,18.1,29.9,21.7,2.07,2.71,3877,51.6,14.8,24.7,4.1,4.8,87.3,6.1,2,1.6,0,10.2,16.2,69896,138415,104356,187653,5,23.9,4.5,17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,284,466,0.19643274015983592,2.2809258767455134
2023-2024,NJ,Carlstadt Public School District,NJ-030740,3402790,550 WASHINGTON STREET,NA,NA,CARLSTADT,07072,http://www.carlstadt.org,Yes,PK,08,9500000US3402790,"Carlstadt Borough School District, NJ",2.7,3.1,38.6,13.9,9.6,19.5,12.5,94.2,32.1,68.4,63.6,4.8,2.8,0.7,24.8,19.3,52.3,15.2,2.45,3.2,2762,45.3,10.4,24.2,5.7,14.4,88.1,1,1,9.6,0,12.4,14,89669,110151,115946,127501,12.2,26.3,8.1,19.6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,388,424,1.5793091502664904,1.8721722916848542
2023-2024,NJ,Chester Township School District,NJ-270820,3403060,50 North Road,Building 4,NA,Chester,07930,http://www.chester-nj.org,Yes,PK,08,9500000US3403060,"Chester Township School District, NJ",0.5,0.7,11.2,10.5,6.5,36.3,34.4,98.9,70.7,62.2,55.7,10.4,5.6,6.2,29.6,39.5,19,31,2.92,3.27,3276,67.5,5,17,3.4,7.1,94.5,1.7,0.2,4.8,0,1.5,22.4,200789,246369,238972,279262,15.3,56.7,13.7,50.2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,62,433,-6.282109740951602,-0.6603743523213231
2023-2024,NJ,Chesterfield Township School District,NJ-050830,3403090,30 Saddle Way,NA,NA,Chesterfield,08515,http://www.chesterfieldschool.com,Yes,PK,06,9500000US3403090,"Chesterfield Township School District, NJ",2.5,4.7,25.9,11.5,2.7,31.9,20.9,92.8,52.8,58.7,70.9,2.2,6.5,3,38.9,25.2,26.5,38.8,3.28,3.44,2406,64.2,8.4,14.9,7.8,4.6,59.2,14.7,0,26.8,0,2.2,23.3,188611,192148,193223,194928,14,46.6,15.2,45.8,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,111,509,-3.973672059460852,-3.0396541488054516
2023-2024,NJ,Clementon Elementary School District,NJ-070880,3403240,4 Audubon Avenue,NA,NA,Clementon,08021,http://clementon.k12.nj.us,Yes,PK,08,9700000US3403240,"Clementon Borough School District, NJ",5,6.7,42.6,17.3,11,14.3,3.2,88.3,17.4,69.9,61.4,4.3,3.5,2.8,55.9,9.1,28.7,19.4,2.34,3.08,2396,36.4,17.4,19.3,12.3,14.7,71,25,0.9,2.4,0,10.6,20.7,62917,80374,88620,106799,1.9,9.7,1.1,5.9,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,488,362,5.174974184789964,-0.6665017030940874
