ST_LEAID,SchoolYear,DistrictName,TotalEnrollment
NJ-010010,2018-2019,Absecon City,859
NJ-010110,2018-2019,Atlantic City,6855
NJ-010120,2018-2019,Atlantic Co Vocational,1647
NJ-010125,2018-2019,Atlantic Co Special Serv,309
NJ-010570,2018-2019,Brigantine City,559
NJ-010590,2018-2019,Buena Regional,1647
NJ-011300,2018-2019,Egg Harbor City,534
NJ-011310,2018-2019,Egg Harbor Twp,7356
NJ-011410,2018-2019,Estell Manor City,181
NJ-011540,2018-2019,Folsom Boro,402
NJ-011690,2018-2019,Galloway Twp,3302
NJ-011790,2018-2019,Greater Egg Harbor Reg,3096
NJ-011940,2018-2019,Hamilton Twp,3164
NJ-011960,2018-2019,Hammonton Town,3500
NJ-012680,2018-2019,Linwood City,807
NJ-012910,2018-2019,Mainland Regional,1226
NJ-013020,2018-2019,Margate City,350
NJ-013480,2018-2019,Mullica Twp,697
NJ-013720,2018-2019,Northfield City,914
NJ-014180,2018-2019,Pleasantville City,3501
NJ-014240,2018-2019,Port Republic City,101
NJ-014800,2018-2019,Somers Point City,882
NJ-015350,2018-2019,Ventnor City,662
NJ-015760,2018-2019,Weymouth Twp,165
NJ-030040,2018-2019,Allendale Boro,874
NJ-030080,2018-2019,Alpine Boro,135
NJ-030285,2018-2019,Bergen Co Special Service,659
NJ-030290,2018-2019,Bergen County Vocational,2348
NJ-030300,2018-2019,Bergenfield Boro,3538
NJ-030440,2018-2019,Bogota Boro,1097.5
NJ-030740,2018-2019,Carlstadt Boro,549
NJ-030745,2018-2019,Carlstadt-East Rutherford,487
NJ-030890,2018-2019,Cliffside Park Boro,3153.5
NJ-030930,2018-2019,Closter Boro,1193
NJ-030990,2018-2019,Cresskill Boro,1778
NJ-031070,2018-2019,Demarest Boro,686
NJ-031130,2018-2019,Dumont Boro,2469
NJ-031230,2018-2019,East Rutherford Boro,799
NJ-031270,2018-2019,Edgewater Boro,1001
NJ-031345,2018-2019,Elmwood Park,2549
NJ-031360,2018-2019,Emerson Boro,1114
NJ-031370,2018-2019,Englewood City,3015
NJ-031380,2018-2019,Englewood Cliffs Boro,491
NJ-031450,2018-2019,Fair Lawn Boro,5076.5
NJ-031470,2018-2019,Fairview Boro,1490
NJ-031550,2018-2019,Fort Lee Boro,4061
NJ-031580,2018-2019,Franklin Lakes Boro,1135
NJ-031700,2018-2019,Garfield City,4818
NJ-031760,2018-2019,Glen Rock Boro,2504.5
NJ-031860,2018-2019,Hackensack City,5740
NJ-032050,2018-2019,Harrington Park Boro,601
NJ-032080,2018-2019,Hasbrouck Heights Boro,1793
NJ-032090,2018-2019,Haworth Boro,394
NJ-032180,2018-2019,Hillsdale Boro,1139
NJ-032200,2018-2019,Ho Ho Kus Boro,590
NJ-032620,2018-2019,Leonia Boro,1935.5
NJ-032710,2018-2019,Little Ferry Boro,867
NJ-032740,2018-2019,Lodi Borough,3012
NJ-032860,2018-2019,Lyndhurst Twp,2478.5
NJ-032900,2018-2019,Mahwah Twp,2838.5
NJ-033060,2018-2019,Maywood Boro,990
NJ-033170,2018-2019,Midland Park Boro,912
NJ-033330,2018-2019,Montvale Boro,970
NJ-033350,2018-2019,Moonachie Boro,310
NJ-033550,2018-2019,New Milford Boro,2030
NJ-033600,2018-2019,North Arlington Boro,1835
NJ-033700,2018-2019,Northern Highlands Reg,1377
NJ-033710,2018-2019,Northern Valley Regional,2395
NJ-033730,2018-2019,Northvale Boro,506
NJ-033740,2018-2019,Norwood Boro,605
NJ-033760,2018-2019,Oakland Boro,1333
NJ-033850,2018-2019,Old Tappan Boro,640
NJ-033870,2018-2019,Oradell Boro,764
NJ-033910,2018-2019,Palisades Park,0
NJ-033930,2018-2019,Paramus Boro,3770.5
NJ-033940,2018-2019,Park Ridge Boro,1207
NJ-033960,2018-2019,Pascack Valley Regional,2059
NJ-034300,2018-2019,Ramapo-Indian Hill Reg,2282.5
NJ-034310,2018-2019,Ramsey Boro,2733
NJ-034370,2018-2019,Ridgefield Boro,1672
NJ-034380,2018-2019,Ridgefield Park Twp,2221.5
NJ-034390,2018-2019,Ridgewood Village,5675.5
NJ-034405,2018-2019,River Dell Regional,1582
NJ-034410,2018-2019,River Edge Boro,1238
NJ-034430,2018-2019,River Vale Twp,1106
NJ-034470,2018-2019,Rochelle Park Twp,506
NJ-034600,2018-2019,Rutherford Boro,2594.5
NJ-034610,2018-2019,Saddle Brook Twp,1746.5
NJ-034620,2018-2019,Saddle River Boro,162
NJ-034845,2018-2019,South Bergen Jointure Com,331
NJ-034870,2018-2019,South Hackensack Twp,281
NJ-035150,2018-2019,Teaneck Twp,3509
NJ-035160,2018-2019,Tenafly Boro,3683
NJ-035330,2018-2019,Upper Saddle River Boro,1117
NJ-035410,2018-2019,Waldwick Boro,1595.5
NJ-035430,2018-2019,Wallington Boro,1234
NJ-035755,2018-2019,Westwood Regional,2770
NJ-035830,2018-2019,Wood-Ridge Boro,1225.5
NJ-035880,2018-2019,Woodcliff Lake Boro,729
NJ-035920,2018-2019,Wyckoff Twp,1899
NJ-050200,2018-2019,Bass River Twp,106
NJ-050380,2018-2019,Beverly City,304
NJ-050475,2018-2019,Bordentown Regional,2473
NJ-050600,2018-2019,Burlington City,1605
NJ-050605,2018-2019,Burlington Co Spec Serv,550
NJ-050610,2018-2019,Burlington Co Vocational,2098
NJ-050620,2018-2019,Burlington Twp,3697
NJ-050830,2018-2019,Chesterfield Twp,775
NJ-050840,2018-2019,Cinnaminson Twp,2558
NJ-051030,2018-2019,Delanco Twp,405
NJ-051060,2018-2019,Delran Twp,2965
NJ-051250,2018-2019,Eastampton Twp,586
NJ-051280,2018-2019,Edgewater Park Twp,901
NJ-051420,2018-2019,Evesham Twp,4410
NJ-051520,2018-2019,Florence Twp,1542
NJ-051910,2018-2019,Hainesport Twp,572
NJ-052610,2018-2019,Lenape Regional,6773
NJ-052850,2018-2019,Lumberton Twp,1216
NJ-052960,2018-2019,Mansfield Twp,536
NJ-053010,2018-2019,Maple Shade Twp,2192
NJ-053070,2018-2019,Medford Lakes Boro,514
NJ-053080,2018-2019,Medford Twp,2660
NJ-053360,2018-2019,Moorestown Twp,3976
NJ-053430,2018-2019,Mount Holly Twp,1062
NJ-053440,2018-2019,Mount Laurel Twp,4202
NJ-053540,2018-2019,New Hanover Twp,173
NJ-053650,2018-2019,North Hanover Twp,1117
NJ-053690,2018-2019,Northern Burlington Reg,2159
NJ-053920,2018-2019,Palmyra Boro,925
NJ-054050,2018-2019,Pemberton Twp,4730
NJ-054320,2018-2019,Rancocas Valley Regional,2047
NJ-054450,2018-2019,Riverside Twp,1371
NJ-054460,2018-2019,Riverton,290
NJ-054740,2018-2019,Shamong Twp,742
NJ-054930,2018-2019,Southampton Twp,718
NJ-055010,2018-2019,Springfield Twp,225
NJ-055130,2018-2019,Tabernacle Twp,696
NJ-055720,2018-2019,Westampton,997
NJ-055805,2018-2019,Willingboro Twp,3338
NJ-055890,2018-2019,Woodland Twp,129
NJ-070150,2018-2019,Audubon Public School Disrict,1499
NJ-070190,2018-2019,Barrington Boro,588
NJ-070260,2018-2019,Bellmawr Boro,1213
NJ-070330,2018-2019,Berlin Boro,813
NJ-070340,2018-2019,Berlin Twp,632
NJ-070390,2018-2019,Black Horse Pike Regional,3534
NJ-070580,2018-2019,Brooklawn Boro,315
NJ-070680,2018-2019,Camden City,7379
NJ-070700,2018-2019,Camden County Vocational,2103
NJ-070800,2018-2019,Cherry Hill Twp,10794
NJ-070880,2018-2019,Clementon Boro,479
NJ-070940,2018-2019,Collingswood Boro,2130
NJ-071255,2018-2019,Eastern Camden County Reg,1955
NJ-071720,2018-2019,Gibbsboro Boro,275
NJ-071770,2018-2019,Gloucester City,2151
NJ-071780,2018-2019,Gloucester Twp,6218
NJ-071799,2018-2019,"Kipp: Cooper Norcross, A New Jersey Nonprofit Corporation",1362
NJ-071801,2018-2019,"Camden Prep, Inc.",734
NJ-071802,2018-2019,"Mastery Schools Of Camden, Inc.",2319
NJ-071880,2018-2019,Haddon Heights Boro,1471
NJ-071890,2018-2019,Haddon Twp,2035
NJ-071900,2018-2019,Haddonfield Boro,2739
NJ-072540,2018-2019,Laurel Springs Boro,186
NJ-072560,2018-2019,Lawnside Boro,311
NJ-072670,2018-2019,Lindenwold Boro,2763
NJ-072890,2018-2019,Magnolia Boro,404
NJ-073110,2018-2019,Merchantville Boro,425
NJ-073420,2018-2019,Mount Ephraim Boro,402
NJ-073770,2018-2019,Oaklyn Boro,233
NJ-074060,2018-2019,Pennsauken Twp,4679
NJ-074110,2018-2019,Pine Hill Boro,1856
NJ-074590,2018-2019,Runnemede Boro,810
NJ-074790,2018-2019,Somerdale Boro,92
NJ-075035,2018-2019,Sterling High School Dist,958
NJ-075080,2018-2019,Stratford Boro,854
NJ-075400,2018-2019,Voorhees Twp,3033
NJ-075560,2018-2019,Waterford Twp,814
NJ-075820,2018-2019,Winslow Twp,4547
NJ-075900,2018-2019,Woodlynne Boro,380
NJ-090170,2018-2019,Avalon Boro,61
NJ-090710,2018-2019,Cape May City,151
NJ-090715,2018-2019,Cape May Co Special Serv,215.5
NJ-090720,2018-2019,Cape May Co Vocational,601
NJ-091080,2018-2019,Dennis Twp,565
NJ-092820,2018-2019,Lower Cape May Regional,1299.5
NJ-092840,2018-2019,Lower Twp,1647
NJ-093130,2018-2019,Middle Twp,2498
NJ-093680,2018-2019,North Wildwood City,221
NJ-093780,2018-2019,Ocean City,2102
NJ-095060,2018-2019,Stone Harbor Boro,99
NJ-095340,2018-2019,Upper Twp,1442
NJ-095610,2018-2019,West Cape May Boro,98
NJ-095790,2018-2019,Wildwood City,892
NJ-095800,2018-2019,Wildwood Crest Boro,261
NJ-095840,2018-2019,Woodbine Boro,232
NJ-110540,2018-2019,Bridgeton City,5982
NJ-110950,2018-2019,Commercial Twp,534
NJ-110995,2018-2019,Cumberland Co Vocational,700.5
NJ-110997,2018-2019,Cumberland Regional,1043
NJ-111020,2018-2019,Deerfield Twp,307
NJ-111120,2018-2019,Downe Twp,183
NJ-111460,2018-2019,Fairfield Twp,556
NJ-111820,2018-2019,Greenwich Twp,61
NJ-112270,2018-2019,Hopewell Twp,500
NJ-112570,2018-2019,Lawrence Twp,500
NJ-113050,2018-2019,Maurice River Twp,403
NJ-113230,2018-2019,Millville City,5408
NJ-115070,2018-2019,Stow Creek Twp,114
NJ-115300,2018-2019,Upper Deerfield Twp,858
NJ-115390,2018-2019,Vineland City,9611
NJ-130250,2018-2019,Belleville Town,4477
NJ-130410,2018-2019,Bloomfield Twp,6357
NJ-130660,2018-2019,Caldwell-West Caldwell,2617.5
NJ-130760,2018-2019,Cedar Grove Twp,1554
NJ-131210,2018-2019,East Orange,9261.5
NJ-131387,2018-2019,Essex Co Ed Serv Comm,68
NJ-131390,2018-2019,Essex Co Voc-Tech,2373
NJ-131400,2018-2019,Essex Fells Boro,250
NJ-131465,2018-2019,Fairfield Twp,670
NJ-131750,2018-2019,Glen Ridge Boro,1877
NJ-132330,2018-2019,Irvington Township,7096
NJ-132730,2018-2019,Livingston Twp,6008.5
NJ-133190,2018-2019,Millburn Twp,4761.5
NJ-133310,2018-2019,Montclair Town,6673
NJ-133570,2018-2019,Newark City,35664
NJ-133630,2018-2019,North Caldwell Boro,667
NJ-133750,2018-2019,Nutley Town,4094
NJ-133880,2018-2019,City Of Orange Twp,5061
NJ-134530,2018-2019,Roseland Boro,469
NJ-134900,2018-2019,South Orange-Maplewood,7103
NJ-135370,2018-2019,Verona Boro,2214.5
NJ-135630,2018-2019,West Essex Regional,1687
NJ-135680,2018-2019,West Orange Town,6593.5
NJ-150860,2018-2019,Clayton Boro,1450
NJ-150870,2018-2019,Clearview Regional,2280
NJ-151100,2018-2019,Deptford Twp,4167.5
NJ-151180,2018-2019,East Greenwich Twp,1305
NJ-151330,2018-2019,Elk Twp,349
NJ-151590,2018-2019,Franklin Twp,1397
NJ-151715,2018-2019,Gateway Regional,878.5
NJ-151730,2018-2019,Glassboro,1969
NJ-151774,2018-2019,Gloucester Co Spec Serv,583
NJ-151775,2018-2019,Gloucester Co Vocational,1472
NJ-151830,2018-2019,Greenwich Twp,405
NJ-152070,2018-2019,Harrison Twp,1382
NJ-152440,2018-2019,Kingsway Regional,2722.5
NJ-152750,2018-2019,Logan Twp,855
NJ-152990,2018-2019,Mantua Twp,1233
NJ-153280,2018-2019,Monroe Twp,5782
NJ-153490,2018-2019,National Park Boro,270
NJ-154020,2018-2019,Paulsboro Boro,1171
NJ-154140,2018-2019,Pitman Boro,1262
NJ-154880,2018-2019,South Harrison Twp,357
NJ-154940,2018-2019,Delsea Regional H.S Dist.,1606.5
NJ-155120,2018-2019,Swedesboro-Woolwich,1633
NJ-155500,2018-2019,Washington Twp,7124
NJ-155590,2018-2019,Wenonah Boro,175
NJ-155620,2018-2019,West Deptford Twp,2891.5
NJ-155740,2018-2019,Westville Boro,373
NJ-155860,2018-2019,Woodbury City,1522.5
NJ-155870,2018-2019,Woodbury Heights Boro,229
NJ-170220,2018-2019,Bayonne City,9604
NJ-171200,2018-2019,East Newark Boro,239
NJ-171850,2018-2019,Guttenberg Town,941
NJ-172060,2018-2019,Harrison Town,2057
NJ-172210,2018-2019,Hoboken City,1964
NJ-172295,2018-2019,Hudson County Vocational,2666
NJ-172390,2018-2019,Jersey City,26785
NJ-172410,2018-2019,Kearny Town,5360
NJ-173610,2018-2019,North Bergen Twp,7497
NJ-174730,2018-2019,Secaucus Town,2267
NJ-175240,2018-2019,Union City,12231
NJ-175580,2018-2019,Weehawken Twp,1407
NJ-175670,2018-2019,West New York Town,7796
NJ-190020,2018-2019,Alexandria Twp,482
NJ-190370,2018-2019,Bethlehem Twp,354
NJ-190430,2018-2019,Bloomsbury Boro,95
NJ-190670,2018-2019,Califon Boro,74
NJ-190910,2018-2019,Clinton Town,430
NJ-190920,2018-2019,Clinton Twp,1213
NJ-191040,2018-2019,Delaware Twp,373
NJ-191050,2018-2019,Delaware Valley Regional,676
NJ-191160,2018-2019,East Amwell Twp,359
NJ-191376,2018-2019,South Hunterdon Regional School District,895.5
NJ-191510,2018-2019,Flemington-Raritan Reg,3061
NJ-191600,2018-2019,Franklin Twp,278
NJ-191680,2018-2019,Frenchtown Boro,127
NJ-191970,2018-2019,Hampton Boro,97
NJ-192140,2018-2019,High Bridge Boro,372
NJ-192220,2018-2019,Holland Twp,531
NJ-192300,2018-2019,Hunterdon Central Reg,2768.5
NJ-192308,2018-2019,Hunterdon Co Vocational,412
NJ-192450,2018-2019,Kingwood Twp,326
NJ-192590,2018-2019,Lebanon Boro,40
NJ-192600,2018-2019,Lebanon Twp,630
NJ-193180,2018-2019,Milford Boro,86
NJ-193660,2018-2019,N Hunt/Voorhees Regional,2479.5
NJ-194350,2018-2019,Readington Twp,1482
NJ-195180,2018-2019,Tewksbury Twp,535
NJ-195270,2018-2019,Union Twp,432
NJ-211245,2018-2019,East Windsor Regional,5122.5
NJ-211430,2018-2019,Ewing Twp,3429
NJ-211431,2018-2019,Katzenbach,77.5
NJ-211431,2018-2019,Katzenbach,77.5
NJ-211950,2018-2019,Hamilton Twp,11440
NJ-212280,2018-2019,Hopewell Valley Regional,3485
NJ-212580,2018-2019,Lawrence Twp,3748
NJ-213103,2018-2019,Mercer County Special Services School District,558.5
NJ-213105,2018-2019,Mercer County Vocational,599
NJ-214255,2018-2019,Princeton Regional,3763.5
NJ-215210,2018-2019,Trenton Public School District,11922.5
NJ-215510,2018-2019,Robbinsville Twp,3136
NJ-215715,2018-2019,W Windsor-Plainsboro Reg,9544.5
NJ-230750,2018-2019,Carteret Boro,3770
NJ-230970,2018-2019,Cranbury Twp,476
NJ-231140,2018-2019,Dunellen Boro,1254
NJ-231170,2018-2019,East Brunswick Twp,8201
NJ-231290,2018-2019,Edison Twp,16307.5
NJ-232150,2018-2019,Highland Park Boro,1601
NJ-232370,2018-2019,Jamesburg Boro,693
NJ-233120,2018-2019,Metuchen Boro,2274
NJ-233140,2018-2019,Middlesex Boro,2086
NJ-233145,2018-2019,Educational Services Commission Of New Jersey,688
NJ-233150,2018-2019,Middlesex Co Vocational,2104.5
NJ-233220,2018-2019,Milltown Boro,747
NJ-233290,2018-2019,Monroe Twp,6776.5
NJ-233530,2018-2019,New Brunswick City,9235.5
NJ-233620,2018-2019,North Brunswick Twp,5939.5
NJ-233845,2018-2019,Old Bridge Twp,8443.5
NJ-234090,2018-2019,Perth Amboy City,10711.5
NJ-234130,2018-2019,Piscataway Twp,7119
NJ-234660,2018-2019,Sayreville Boro,6176.5
NJ-234830,2018-2019,South Amboy City,1076.5
NJ-234860,2018-2019,South Brunswick Twp,8539.5
NJ-234910,2018-2019,South Plainfield Boro,3356
NJ-234920,2018-2019,South River Boro,2207.5
NJ-234970,2018-2019,Spotswood Boro,1678
NJ-235850,2018-2019,Woodbridge Twp,13736
NJ-250100,2018-2019,Asbury Park City,1895
NJ-250130,2018-2019,Atlantic Highlands Boro,311
NJ-250180,2018-2019,Avon Boro,139
NJ-250225,2018-2019,Bayshore Jointure Comm,52
NJ-250270,2018-2019,Belmar Boro,466
NJ-250500,2018-2019,Bradley Beach Boro,253
NJ-250560,2018-2019,Brielle Boro,525
NJ-250945,2018-2019,Colts Neck Twp,971
NJ-251000,2018-2019,Deal Boro,169
NJ-251260,2018-2019,Eatontown Boro,943
NJ-251440,2018-2019,Fair Haven Boro,965
NJ-251490,2018-2019,Farmingdale Boro,155
NJ-251640,2018-2019,Freehold Boro,1666
NJ-251650,2018-2019,Freehold Regional,10532.5
NJ-251660,2018-2019,Freehold Twp,3728
NJ-252105,2018-2019,Hazlet Twp,2819
NJ-252120,2018-2019,Henry Hudson Regional,320
NJ-252160,2018-2019,Highlands Boro,189
NJ-252230,2018-2019,Holmdel Twp,2990
NJ-252290,2018-2019,Howell Twp,5596
NJ-252400,2018-2019,Keansburg Boro,1581.5
NJ-252430,2018-2019,Keyport Boro,1041
NJ-252720,2018-2019,Little Silver Boro,834
NJ-252770,2018-2019,Long Branch City,5709.5
NJ-252920,2018-2019,Manalapan-Englishtown Reg,4971
NJ-252930,2018-2019,Manasquan Boro,1492
NJ-253030,2018-2019,Marlboro Twp,4761
NJ-253040,2018-2019,Matawan-Aberdeen Regional,3743.5
NJ-253160,2018-2019,Middletown Twp,9490.5
NJ-253200,2018-2019,Millstone Twp,1107
NJ-253250,2018-2019,Monmouth Beach Boro,234
NJ-253255,2018-2019,Monmouth-Ocean Ed Ser Com,17
NJ-253260,2018-2019,Monmouth Co Vocational,2146
NJ-253270,2018-2019,Monmouth Regional,947.5
NJ-253500,2018-2019,Neptune City,263
NJ-253510,2018-2019,Neptune Twp,3952
NJ-253810,2018-2019,Ocean Twp,3385.5
NJ-253830,2018-2019,Oceanport Boro,595
NJ-254360,2018-2019,Red Bank Boro,1292
NJ-254365,2018-2019,Red Bank Regional,1184
NJ-254520,2018-2019,Roosevelt Boro,81
NJ-254570,2018-2019,Rumson Boro,993
NJ-254580,2018-2019,Rumson-Fair Haven Reg,978
NJ-254690,2018-2019,Sea Girt Boro,125
NJ-254760,2018-2019,Shore Regional,642.5
NJ-254770,2018-2019,Shrewsbury Boro,479
NJ-254980,2018-2019,Spring Lake Boro,176
NJ-254990,2018-2019,Spring Lake Heights Boro,327
NJ-255185,2018-2019,Tinton Falls,1444
NJ-255230,2018-2019,Union Beach,645
NJ-255310,2018-2019,Upper Freehold Regional,2215.5
NJ-255420,2018-2019,Wall Twp,3394.5
NJ-255640,2018-2019,West Long Branch Boro,566
NJ-270450,2018-2019,Boonton Town,1388
NJ-270460,2018-2019,Boonton Twp,410
NJ-270630,2018-2019,Butler Boro,1163.5
NJ-270785,2018-2019,Sch Dist Of The Chathams,4118.5
NJ-270820,2018-2019,Chester Twp,1086
NJ-271090,2018-2019,Denville Twp,1618
NJ-271110,2018-2019,Dover Town,3170.5
NJ-271190,2018-2019,East Hanover Twp,900
NJ-271530,2018-2019,Florham Park Boro,990
NJ-271990,2018-2019,Hanover Park Regional,1453
NJ-272000,2018-2019,Hanover Twp,1371
NJ-272010,2018-2019,Harding Township,277
NJ-272380,2018-2019,Jefferson Twp,2875.5
NJ-272460,2018-2019,Kinnelon Boro,1804.5
NJ-272650,2018-2019,Lincoln Park Boro,909
NJ-272870,2018-2019,Madison Boro,2618.5
NJ-273090,2018-2019,Mendham Boro,512
NJ-273100,2018-2019,Mendham Twp,690
NJ-273240,2018-2019,Mine Hill Twp,344
NJ-273340,2018-2019,Montville Twp,3594
NJ-273364,2018-2019,Educ Serv Comm Morris Co,53
NJ-273365,2018-2019,Morris County Vocational,1230.5
NJ-273370,2018-2019,Morris Hills Regional,2697
NJ-273380,2018-2019,Morris Plains Boro,569
NJ-273385,2018-2019,Morris School District,5113
NJ-273410,2018-2019,Mount Arlington Boro,360
NJ-273450,2018-2019,Mount Olive Twp,4617.5
NJ-273460,2018-2019,Mountain Lakes Boro,1486.5
NJ-273520,2018-2019,Netcong Boro,285
NJ-273950,2018-2019,Parsippany-Troy Hills Twp,7145.5
NJ-274000,2018-2019,Long Hill Twp,851
NJ-274080,2018-2019,Pequannock Twp,2086
NJ-274330,2018-2019,Randolph Twp,4613.5
NJ-274440,2018-2019,Riverdale Boro,334
NJ-274480,2018-2019,Rockaway Boro,555
NJ-274490,2018-2019,Rockaway Twp,2267
NJ-274560,2018-2019,Roxbury Twp,3512
NJ-275520,2018-2019,Washington Twp,2000
NJ-275660,2018-2019,West Morris Regional,2434
NJ-275770,2018-2019,Wharton Boro,733
NJ-290185,2018-2019,Barnegat Twp,3097
NJ-290210,2018-2019,Bay Head Boro,122
NJ-290230,2018-2019,Beach Haven Boro,52
NJ-290320,2018-2019,Berkeley Twp,2309
NJ-290530,2018-2019,Brick Twp,8450
NJ-290770,2018-2019,Central Regional,2201
NJ-291150,2018-2019,Eagleswood Twp,128
NJ-292350,2018-2019,Island Heights Boro,124
NJ-292360,2018-2019,Jackson Twp,8146
NJ-292480,2018-2019,Lacey Twp,3958.5
NJ-292500,2018-2019,Lakehurst Boro,366
NJ-292520,2018-2019,Lakewood Twp,5486.5
NJ-292550,2018-2019,Lavallette Boro,143
NJ-292690,2018-2019,Little Egg Harbor Twp,1617
NJ-292760,2018-2019,Long Beach Island,222
NJ-292940,2018-2019,Manchester Twp,2920
NJ-293790,2018-2019,Ocean County Vocational,1320
NJ-293800,2018-2019,Ocean Gate Boro,142
NJ-293820,2018-2019,Ocean Twp,507
NJ-294105,2018-2019,Pinelands Regional,1522.5
NJ-294190,2018-2019,Plumsted Twp,1296.5
NJ-294210,2018-2019,Point Pleasant Boro,2765.5
NJ-294220,2018-2019,Point Pleasant Beach Boro,745
NJ-294710,2018-2019,Seaside Heights Boro,219
NJ-294950,2018-2019,Southern Regional,2836.5
NJ-295020,2018-2019,Stafford Twp,2200
NJ-295190,2018-2019,Toms River Regional,15215.5
NJ-295220,2018-2019,Tuckerton Boro,292
NJ-310420,2018-2019,Bloomingdale Boro,546
NJ-310900,2018-2019,Clifton City,10621
NJ-311920,2018-2019,Haledon Boro,1048
NJ-312100,2018-2019,Hawthorne Boro,2290
NJ-312510,2018-2019,Lakeland Regional,927.5
NJ-312700,2018-2019,Little Falls Twp,861
NJ-313640,2018-2019,North Haledon Boro,619
NJ-313970,2018-2019,Passaic City,13726
NJ-313975,2018-2019,Northern Region Educational Services Commission,69
NJ-313980,2018-2019,Passaic Co Manchester Reg,833
NJ-313990,2018-2019,Passaic Valley Regional,1182.5
NJ-313995,2018-2019,Passaic County Vocational,3735
NJ-314010,2018-2019,Paterson City,24860
NJ-314230,2018-2019,Pompton Lakes Boro,1663
NJ-314270,2018-2019,Prospect Park Boro,884
NJ-314400,2018-2019,Ringwood Boro,1154
NJ-315200,2018-2019,Totowa Boro,978
NJ-315440,2018-2019,Wanaque Boro,891
NJ-315570,2018-2019,Wayne Twp,7798
NJ-315650,2018-2019,West Milford Twp,3269
NJ-315690,2018-2019,Woodland Park,1078
NJ-330060,2018-2019,Alloway Twp,361
NJ-331350,2018-2019,Elsinboro Twp,116
NJ-332800,2018-2019,Lower Alloways Creek,163
NJ-332950,2018-2019,Mannington Twp,157
NJ-333860,2018-2019,Oldmans Twp,286
NJ-334070,2018-2019,Penns Grv-Carneys Pt Reg,2127.5
NJ-334075,2018-2019,Pennsville,1666
NJ-334150,2018-2019,Pittsgrove Twp,1705
NJ-334280,2018-2019,Quinton Twp,306
NJ-334630,2018-2019,Salem City,1233.5
NJ-334635,2018-2019,Salem Co Special Service,217
NJ-334640,2018-2019,Salem County Vocational,706.5
NJ-335320,2018-2019,Upper Pittsgrove Twp,318
NJ-335910,2018-2019,Woodstown-Pilesgrove Reg,1463.5
NJ-350240,2018-2019,Bedminster Twp,514
NJ-350350,2018-2019,Bernards Twp,5301
NJ-350490,2018-2019,Bound Brook Boro,1912
NJ-350510,2018-2019,Branchburg Twp,1446
NJ-350555,2018-2019,Bridgewater-Raritan Reg,8453
NJ-351610,2018-2019,Franklin Twp,7008
NJ-351810,2018-2019,Green Brook Twp,787
NJ-352170,2018-2019,Hillsborough Twp,7383
NJ-353000,2018-2019,Manville Boro,1500.5
NJ-353320,2018-2019,Montgomery Twp,4678
NJ-353670,2018-2019,North Plainfield Boro,3270.5
NJ-354805,2018-2019,Somerset Co Ed Serv Comm,109
NJ-354810,2018-2019,Somerset Co Vocational,494.5
NJ-354815,2018-2019,Somerset Hills Regional,1936
NJ-354820,2018-2019,Somerville Boro,2339
NJ-354850,2018-2019,South Bound Brook,423
NJ-355470,2018-2019,Warren Twp,1667
NJ-355540,2018-2019,Watchung Boro,636
NJ-355550,2018-2019,Watchung Hills Regional,1969.5
NJ-370090,2018-2019,Andover Reg,445
NJ-370640,2018-2019,Byram Twp,811
NJ-371560,2018-2019,Frankford Twp,500
NJ-371570,2018-2019,Franklin Boro,438
NJ-371630,2018-2019,Fredon Twp,189
NJ-371800,2018-2019,Green Twp,409
NJ-371930,2018-2019,Hamburg Boro,244
NJ-371980,2018-2019,Hampton Twp,280
NJ-372030,2018-2019,Hardyston Twp,668
NJ-372165,2018-2019,High Point Regional,891.5
NJ-372240,2018-2019,Hopatcong,1544
NJ-372465,2018-2019,Kittatinny Regional,933
NJ-372490,2018-2019,Lafayette Twp,203
NJ-372615,2018-2019,Lenape Valley Regional,687
NJ-373300,2018-2019,Montague Twp,253
NJ-373590,2018-2019,Newton Town,1534.5
NJ-373840,2018-2019,Ogdensburg Boro,235
NJ-374650,2018-2019,Sandyston-Walpack Twp,133
NJ-374960,2018-2019,Sparta Twp,3172
NJ-375030,2018-2019,Stanhope Boro,310
NJ-375040,2018-2019,Stillwater Twp,262
NJ-375100,2018-2019,Sussex-Wantage Regional,1036
NJ-375105,2018-2019,Sussex Co Ed Serv Comm,42
NJ-375110,2018-2019,Sussex County Vocational,782
NJ-375360,2018-2019,Vernon Twp,2981
NJ-375435,2018-2019,Wallkill Valley Regional,604
NJ-390310,2018-2019,Berkeley Heights Twp,2568
NJ-390850,2018-2019,Clark Twp,2227.5
NJ-390980,2018-2019,Cranford Twp,3840
NJ-391320,2018-2019,Elizabeth City,27466
NJ-391710,2018-2019,Garwood Boro,379
NJ-392190,2018-2019,Hillside Twp,3071.5
NJ-392420,2018-2019,Kenilworth Boro,1425
NJ-392660,2018-2019,Linden City,6190.5
NJ-393395,2018-2019,Morris-Union Jointure Com,221
NJ-393470,2018-2019,Mountainside Boro,252
NJ-393560,2018-2019,New Providence Boro,2382.5
NJ-394160,2018-2019,Plainfield City,7665
NJ-394290,2018-2019,Rahway City,3946
NJ-394540,2018-2019,Roselle Boro,2940.5
NJ-394550,2018-2019,Roselle Park Boro,2005
NJ-394670,2018-2019,Scotch Plains-Fanwood Reg,5535.5
